entry_ts,market,side,qty,entry_trigger_cents,entry_fill_event_ts_list,entry_fill_cents_assumed,entry_fill_cents_actual,entry_fill_cents_used,entry_accounting_source,entry_fee_cents,entry_notional_dollars,entry_exchange_qty,entry_exchange_fill_ids,entry_api_fill_ids,exit_ts,exit_trigger_cents,exit_fill_event_ts_list,exit_fill_cents_assumed,exit_fill_cents_actual,exit_fill_cents_used,exit_accounting_source,exit_fee_cents,exit_notional_dollars,exit_exchange_qty,exit_exchange_fill_ids,exit_api_fill_ids,total_fees_dollars,outcome,resolution_source,accounting_source,result,gross_pnl_dollars,net_pnl_dollars,net_pnl_percent,gross_pnl_percent,market_status,market_result,settlement_ts
2026-04-30 22:17:02,KXBTC15M-26APR302230-30,yes,2.0,69,2026-04-30 22:17:02,69.0,69.0,69.0,kalshi_api,3.0,1.38,2.0,a54b89da-17a7-4ce0-8c7f-a7855f21c7de,a54b89da-17a7-4ce0-8c7f-a7855f21c7de,2026-04-30 22:17:32,63,2026-04-30 22:17:33,63.0,63.0,63.0,kalshi_api,4.0,1.26,2.0,0d67f99f-cfa5-6b8a-d813-43111c622727,0d67f99f-cfa5-6b8a-d813-43111c622727,0.07,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.12,-0.19,-13.7681,-8.6957,,,
2026-04-30 22:19:55,KXBTC15M-26APR302230-30,no,2.0,80,2026-04-30 22:19:55,80.0,80.0,80.0,kalshi_api,3.0,1.6,2.0,8bf2e8ea-7351-716e-983c-cd318e7c2196,8bf2e8ea-7351-716e-983c-cd318e7c2196,2026-04-30 22:21:01,86,2026-04-30 22:21:02,86.0,86.0,86.0,kalshi_api,2.0,1.72,2.0,5d0f0654-7cb1-6785-0bdc-9f65d0eb3b0b,5d0f0654-7cb1-6785-0bdc-9f65d0eb3b0b,0.05,exited_before_settlement,bot_exit_signal,kalshi_api,,0.12,0.07,4.375,7.5,,,
2026-04-30 22:21:31,KXBTC15M-26APR302230-30,no,2.0,85,2026-04-30 22:21:31,85.0,85.0,85.0,kalshi_api,2.0,1.7,2.0,6119d631-f911-5b66-f71c-a16e29e0e766,6119d631-f911-5b66-f71c-a16e29e0e766,2026-04-30 22:24:03,88,2026-04-30 22:24:03,88.0,88.0,88.0,kalshi_api,2.0,1.76,2.0,a9a82030-3e31-627d-f888-08d4d084a78d,a9a82030-3e31-627d-f888-08d4d084a78d,0.04,exited_before_settlement,bot_exit_signal,kalshi_api,,0.06,0.02,1.1765,3.5294,,,
2026-04-30 22:32:50,KXBTC15M-26APR302245-45,no,2.0,80,2026-04-30 22:32:50,80.0,80.0,80.0,kalshi_api,3.0,1.6,2.0,2ef0e4e6-b173-636d-bd42-7acaecd39388,2ef0e4e6-b173-636d-bd42-7acaecd39388,2026-04-30 22:34:05,82,2026-04-30 22:34:05,82.0,82.0,82.0,kalshi_api,3.0,1.64,2.0,2e67f267-8ba7-76dd-fc39-5a2bb649f2fd,2e67f267-8ba7-76dd-fc39-5a2bb649f2fd,0.06,exited_before_settlement,bot_exit_signal,kalshi_api,,0.04,-0.02,-1.25,2.5,,,
2026-04-30 23:16:08,KXBTC15M-26APR302330-30,yes,2.0,78,2026-04-30 23:16:08,78.0,78.0,78.0,kalshi_api,3.0,1.56,2.0,8c4fdc02-e2e3-4bd3-6145-77201d3ad17d,8c4fdc02-e2e3-4bd3-6145-77201d3ad17d,2026-04-30 23:16:39,77,2026-04-30 23:16:39,77.0,77.0,77.0,kalshi_api,4.0,1.54,2.0,cafdd001-a94c-6a0f-1125-c4fed40823b1|2bd197fa-fe58-7ca7-0e85-93704614a845,cafdd001-a94c-6a0f-1125-c4fed40823b1|2bd197fa-fe58-7ca7-0e85-93704614a845,0.07,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.02,-0.09,-5.7692,-1.2821,,,
2026-04-30 23:17:01,KXBTC15M-26APR302330-30,yes,2.0,85,2026-04-30 23:17:01,85.0,85.0,85.0,kalshi_api,3.0,1.7,2.0,90da5a9b-31c6-720c-995e-9465d2bb3750|87ed82c8-a002-7194-99ac-12b3d7f61e4f,90da5a9b-31c6-720c-995e-9465d2bb3750|87ed82c8-a002-7194-99ac-12b3d7f61e4f,,,,,,,kalshi_market_result_api,0,,,,,0.03,win,kalshi_api,kalshi_api_fills+market_result,yes,0.3,0.27,15.8824,17.6471,finalized,yes,2026-05-01T03:30:16.755Z
2026-05-01 00:13:03,KXBTC15M-26MAY010015-15,yes,2.0,61,2026-05-01 00:13:03,61.0,61.0,61.0,kalshi_api,4.0,1.22,2.0,9a20ec58-2b23-7100-06b8-721cc1d9ee87,9a20ec58-2b23-7100-06b8-721cc1d9ee87,2026-05-01 00:13:34,81,2026-05-01 00:13:34,81.0,82.0,82.0,kalshi_api,3.0,1.64,2.0,d593e4ad-6154-70e1-5706-8c25ee06a1c8,d593e4ad-6154-70e1-5706-8c25ee06a1c8,0.07,exited_before_settlement,bot_exit_signal,kalshi_api,,0.42,0.35,28.6885,34.4262,,,
2026-05-01 01:05:03,KXBTC15M-26MAY010115-15,yes,2.0,82,2026-05-01 01:05:03,82.0,82.0,82.0,kalshi_api,3.0,1.64,2.0,0a54763a-ee5e-5d4e-5ff9-09eae78005d4,0a54763a-ee5e-5d4e-5ff9-09eae78005d4,2026-05-01 01:07:11,93,2026-05-01 01:07:11,93.0,93.0,93.0,kalshi_api,1.0,1.86,2.0,6eb0afe2-6b58-44e0-1f0c-2698f87537b0,6eb0afe2-6b58-44e0-1f0c-2698f87537b0,0.04,exited_before_settlement,bot_exit_signal,kalshi_api,,0.22,0.18,10.9756,13.4146,,,
2026-05-01 01:55:07,KXBTC15M-26MAY010200-00,yes,2.0,80,2026-05-01 01:55:07,80.0,80.0,80.0,kalshi_api,3.0,1.6,2.0,c7b40052-0492-4d82-f51c-2ae4c37bb3c2|27a9819c-8b30-4f9d-f4db-c2515fe10aec,c7b40052-0492-4d82-f51c-2ae4c37bb3c2|27a9819c-8b30-4f9d-f4db-c2515fe10aec,2026-05-01 01:55:38,84,2026-05-01 01:55:38,84.0,84.0,84.0,kalshi_api,2.0,1.68,2.0,74cab219-7e85-47d1-5aa6-c5f9c8d51371,74cab219-7e85-47d1-5aa6-c5f9c8d51371,0.05,exited_before_settlement,bot_exit_signal,kalshi_api,,0.08,0.03,1.875,5.0,,,
2026-05-01 01:57:05,KXBTC15M-26MAY010200-00,yes,2.0,79,2026-05-01 01:57:05,79.0,79.0,79.0,kalshi_api,3.0,1.58,2.0,26719490-b1b7-62a3-6a77-a4e702ef42f9,26719490-b1b7-62a3-6a77-a4e702ef42f9,2026-05-01 01:57:36,88,2026-05-01 01:57:36,88.0,88.0,88.0,kalshi_api,2.0,1.76,2.0,ad2a71f5-6f13-726f-5687-64f166adf17f,ad2a71f5-6f13-726f-5687-64f166adf17f,0.05,exited_before_settlement,bot_exit_signal,kalshi_api,,0.18,0.13,8.2278,11.3924,,,
2026-05-01 02:50:44,KXBTC15M-26MAY010300-00,no,2.0,88,2026-05-01 02:50:44,88.0,88.0,88.0,kalshi_api,2.0,1.76,2.0,c0099c83-e9fb-47e9-391e-0db70f4032b3,c0099c83-e9fb-47e9-391e-0db70f4032b3,2026-05-01 02:52:53,77,2026-05-01 02:52:53,77.0,77.0,77.0,kalshi_api,4.0,1.54,2.0,ceee31c9-c1a3-615d-a615-1e495f5114f5|7a247184-d7f7-7e81-0b99-9e5bb46957e5,ceee31c9-c1a3-615d-a615-1e495f5114f5|7a247184-d7f7-7e81-0b99-9e5bb46957e5,0.06,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.22,-0.28,-15.9091,-12.5,,,
2026-05-01 02:56:03,KXBTC15M-26MAY010300-00,yes,2.0,85,2026-05-01 02:56:03,85.0,85.0,85.0,kalshi_api,2.0,1.7,2.0,42b03c40-a5b9-5b28-60bc-6fec15926005,42b03c40-a5b9-5b28-60bc-6fec15926005,2026-05-01 02:56:34,93,2026-05-01 02:56:34,93.0,93.2,93.2,kalshi_api,1.4,1.864,2.0,6dc3c9bb-04ab-5218-8c6d-32a9df6bfe42,6dc3c9bb-04ab-5218-8c6d-32a9df6bfe42,0.034,exited_before_settlement,bot_exit_signal,kalshi_api,,0.164,0.13,7.6471,9.6471,,,
2026-05-01 03:10:06,KXBTC15M-26MAY010315-15,yes,2.0,66,2026-05-01 03:10:06,66.0,66.0,66.0,kalshi_api,4.0,1.32,2.0,ad1b7b10-c994-7ccf-1c07-e9f69a145c11,ad1b7b10-c994-7ccf-1c07-e9f69a145c11,2026-05-01 03:10:37,67,2026-05-01 03:10:37,67.0,67.0,67.0,kalshi_api,4.0,1.34,2.0,bb5e27de-4a86-4c79-9294-58a219d822ba,bb5e27de-4a86-4c79-9294-58a219d822ba,0.08,exited_before_settlement,bot_exit_signal,kalshi_api,,0.02,-0.06,-4.5455,1.5152,,,
2026-05-01 03:13:03,KXBTC15M-26MAY010315-15,yes,2.0,84,2026-05-01 03:13:03,84.0,84.0,84.0,kalshi_api,2.0,1.68,2.0,4e583c25-c2bf-5a2a-68fd-fec02063001e,4e583c25-c2bf-5a2a-68fd-fec02063001e,2026-05-01 03:13:35,90,2026-05-01 03:13:35,90.0,90.2,90.2,kalshi_api,1.4,1.804,2.0,0194f45c-dc55-64eb-d32f-f51a1e833dbd,0194f45c-dc55-64eb-d32f-f51a1e833dbd,0.034,exited_before_settlement,bot_exit_signal,kalshi_api,,0.124,0.09,5.3571,7.381,,,
2026-05-01 03:22:03,KXBTC15M-26MAY010330-30,yes,2.0,76,2026-05-01 03:22:04,76.0,76.0,76.0,kalshi_api,3.0,1.52,2.0,2e8955db-247d-7313-dc94-d85d814c14f2,2e8955db-247d-7313-dc94-d85d814c14f2,2026-05-01 03:22:34,64,2026-05-01 03:22:34,64.0,64.0,64.0,kalshi_api,4.0,1.28,2.0,a77e087c-7194-53d6-b1bc-8b1a1382ebb8,a77e087c-7194-53d6-b1bc-8b1a1382ebb8,0.07,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.24,-0.31,-20.3947,-15.7895,,,
2026-05-01 03:49:46,KXBTC15M-26MAY010400-00,yes,1.0,75,2026-05-01 03:49:46,75.0,75.0,75.0,kalshi_api,2.0,0.75,1.0,4183f60e-bb59-7b34-6e75-bb97897fa018,4183f60e-bb59-7b34-6e75-bb97897fa018,,,,,,,kalshi_market_result_api,0,,,,,0.02,win,kalshi_api,kalshi_api_fills+market_result,yes,0.25,0.23,30.6667,33.3333,finalized,yes,2026-05-01T08:00:16.746046Z
2026-05-01 04:15:51,KXBTC15M-26MAY010430-30,yes,4.0,83,2026-05-01 04:15:51|2026-05-01 04:17:58,86,86.5,86.5,kalshi_api,4.0,3.46,4.0,fb15c818-f765-5e28-0bb9-b8624c4189a6|bc5b3a9b-ab47-5746-01cc-45a2f1dc1e4b|0d01a0c8-9848-5124-c87e-a7955db3ebd4,fb15c818-f765-5e28-0bb9-b8624c4189a6|bc5b3a9b-ab47-5746-01cc-45a2f1dc1e4b|0d01a0c8-9848-5124-c87e-a7955db3ebd4,,,,,,,kalshi_market_result_api,0,,,,,0.04,win,kalshi_api,kalshi_api_fills+market_result,yes,0.54,0.5,14.4509,15.6069,finalized,yes,2026-05-01T08:30:16.696693Z
2026-05-01 04:58:29,KXBTC15M-26MAY010500-00,yes,2.0,90,2026-05-01 04:58:30,90.0,90.0,90.0,kalshi_api,2.0,1.8,2.0,8f8433f7-c332-6142-0f7e-07f7f12f18eb,8f8433f7-c332-6142-0f7e-07f7f12f18eb,,,,,,,kalshi_market_result_api,0,,,,,0.02,win,kalshi_api,kalshi_api_fills+market_result,yes,0.2,0.18,10.0,11.1111,finalized,yes,2026-05-01T09:00:16.700542Z
2026-05-01 05:24:38,KXBTC15M-26MAY010530-30,yes,2.0,87,2026-05-01 05:24:38,87.0,86.0,86.0,kalshi_api,2.0,1.72,2.0,d732ae39-9cc2-4193-a68b-6be5fd057bf8,d732ae39-9cc2-4193-a68b-6be5fd057bf8,2026-05-01 05:25:15,72,2026-05-01 05:25:15,72.0,72.0,72.0,kalshi_api,4.0,1.44,2.0,86dac674-1622-6b17-3be1-bf24021070d3|96136f88-67b4-5abc-8e9b-1bfd4c495593,86dac674-1622-6b17-3be1-bf24021070d3|96136f88-67b4-5abc-8e9b-1bfd4c495593,0.06,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.28,-0.34,-19.7674,-16.2791,,,
2026-05-01 05:26:57,KXBTC15M-26MAY010530-30,yes,2.0,85,2026-05-01 05:26:57,85.0,84.0,84.0,kalshi_api,2.0,1.68,2.0,c3a42201-4d99-576b-9140-59a852dd8e81,c3a42201-4d99-576b-9140-59a852dd8e81,2026-05-01 05:28:29,95,2026-05-01 05:28:29,95.0,95.4,95.4,kalshi_api,0.8,1.908,2.0,ccc90bad-2b2b-697a-0ea3-82f9c16a6e31,ccc90bad-2b2b-697a-0ea3-82f9c16a6e31,0.028,exited_before_settlement,bot_exit_signal,kalshi_api,,0.228,0.2,11.9048,13.5714,,,
2026-05-01 06:16:32,KXBTC15M-26MAY010630-30,yes,2.0,77,2026-05-01 06:16:32,77.0,77.0,77.0,kalshi_api,3.0,1.54,2.0,d3260e02-aea8-679b-a676-8cb8db7ee666,d3260e02-aea8-679b-a676-8cb8db7ee666,,,,,,,kalshi_market_result_api,0,,,,,0.03,win,kalshi_api,kalshi_api_fills+market_result,yes,0.46,0.43,27.9221,29.8701,finalized,yes,2026-05-01T10:30:06.696612Z
2026-05-01 06:53:38,KXBTC15M-26MAY010700-00,yes,2.0,78,2026-05-01 06:53:39,78.0,78.0,78.0,kalshi_api,3.0,1.56,2.0,b505ebd4-6e9b-5c60-30e6-ef7d385eff14,b505ebd4-6e9b-5c60-30e6-ef7d385eff14,2026-05-01 06:55:11,57,2026-05-01 06:55:11,57.0,58.5,58.5,kalshi_api,4.0,1.17,2.0,fd13ea8b-258a-7462-f534-753b82702bb2|b11b7a8b-1cb4-750a-d327-e39e452da8e4,fd13ea8b-258a-7462-f534-753b82702bb2|b11b7a8b-1cb4-750a-d327-e39e452da8e4,0.07,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.39,-0.46,-29.4872,-25.0,,,
2026-05-01 06:56:07,KXBTC15M-26MAY010700-00,yes,3.0,80,2026-05-01 06:56:07|2026-05-01 06:58:16,81,81.3333,81.3333,kalshi_api,5.0,2.44,3.0,7ae35064-b94a-783e-e58e-15ecebac8933|1178ffd0-8e16-7923-a7b2-b82e3a75c76c,7ae35064-b94a-783e-e58e-15ecebac8933|1178ffd0-8e16-7923-a7b2-b82e3a75c76c,,,,,,,kalshi_market_result_api,0,,,,,0.05,win,kalshi_api,kalshi_api_fills+market_result,yes,0.56,0.51,20.9016,22.9508,finalized,yes,2026-05-01T11:00:06.695861Z
2026-05-01 07:00:34,KXBTC15M-26MAY010715-15,yes,2.0,65,2026-05-01 07:00:34,65.0,65.0,65.0,kalshi_api,4.0,1.3,2.0,6950adfd-eb70-5c28-9a26-b769283906cc,6950adfd-eb70-5c28-9a26-b769283906cc,2026-05-01 07:01:29,61,2026-05-01 07:01:29,61.0,61.0,61.0,kalshi_api,4.0,1.22,2.0,7f33c84e-f8cc-4cbd-a1be-1365063dd4ea|fa18b79e-1874-79d9-b77e-707c3d94bff6,7f33c84e-f8cc-4cbd-a1be-1365063dd4ea|fa18b79e-1874-79d9-b77e-707c3d94bff6,0.08,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.08,-0.16,-12.3077,-6.1538,,,
2026-05-01 07:02:01,KXBTC15M-26MAY010715-15,yes,2.0,68,2026-05-01 07:02:01,68.0,68.0,68.0,kalshi_api,4.0,1.36,2.0,6a88b4f9-98c9-5416-d6ed-97aaaf8ce7ab,6a88b4f9-98c9-5416-d6ed-97aaaf8ce7ab,2026-05-01 07:02:47,60,2026-05-01 07:02:47,60.0,60.0,60.0,kalshi_api,4.0,1.2,2.0,69a2ecc9-e5d2-5b3c-e4d7-6c7cc0c8ea77|abd33383-1d98-6d1d-5e27-f3d6216e4f4d,69a2ecc9-e5d2-5b3c-e4d7-6c7cc0c8ea77|abd33383-1d98-6d1d-5e27-f3d6216e4f4d,0.08,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.16,-0.24,-17.6471,-11.7647,,,
2026-05-01 07:11:38,KXBTC15M-26MAY010715-15,yes,2.0,57,2026-05-01 07:11:38,57.0,57.0,57.0,kalshi_api,4.0,1.14,2.0,ed2a3c25-53f0-7e29-43ac-63f654b11157,ed2a3c25-53f0-7e29-43ac-63f654b11157,,,,,,,kalshi_market_result_api,0,,,,,0.04,win,kalshi_api,kalshi_api_fills+market_result,yes,0.86,0.82,71.9298,75.4386,finalized,yes,2026-05-01T11:15:16.6952Z
2026-05-01 07:16:36,KXBTC15M-26MAY010730-30,yes,6.0,72,2026-05-01 07:16:36|2026-05-01 07:18:37|2026-05-01 07:26:48,83,83.6667,83.6667,kalshi_api,7.0,5.02,6.0,e48a90a1-3be0-5364-9acf-30dda1491f9e|1ad3c52d-e373-725c-c6aa-a53201851528|49530a9f-ce98-68ac-d389-6866d6abf4a9,e48a90a1-3be0-5364-9acf-30dda1491f9e|1ad3c52d-e373-725c-c6aa-a53201851528|49530a9f-ce98-68ac-d389-6866d6abf4a9,,,,,,,kalshi_market_result_api,0,,,,,0.07,win,kalshi_api,kalshi_api_fills+market_result,yes,0.98,0.91,18.1275,19.5219,finalized,yes,2026-05-01T11:30:16.696268Z
2026-05-01 07:30:32,KXBTC15M-26MAY010745-45,yes,2.0,69,2026-05-01 07:30:33,69.0,69.0,69.0,kalshi_api,3.0,1.38,2.0,926c855f-b40a-500c-f9d2-d54a6c7b1b98,926c855f-b40a-500c-f9d2-d54a6c7b1b98,2026-05-01 07:31:59,64,2026-05-01 07:31:59,64.0,64.0,64.0,kalshi_api,4.0,1.28,2.0,d940a2c5-c659-7f98-97aa-95b27520d6ba|47188d3a-4af1-5dc0-6584-23ad59d4d9ca,d940a2c5-c659-7f98-97aa-95b27520d6ba|47188d3a-4af1-5dc0-6584-23ad59d4d9ca,0.07,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.1,-0.17,-12.3188,-7.2464,,,
2026-05-01 07:32:12,KXBTC15M-26MAY010745-45,yes,2.0,67,2026-05-01 07:32:12,67.0,67.0,67.0,kalshi_api,4.0,1.34,2.0,b6eb89b6-c07e-4858-2652-b93c2d2d93dc,b6eb89b6-c07e-4858-2652-b93c2d2d93dc,2026-05-01 07:33:41,64,2026-05-01 07:33:42,64.0,64.0,64.0,kalshi_api,4.0,1.28,2.0,af13085e-c98c-685b-db6c-e71e7a71d7bc|926e47f1-e4c8-529f-87d5-f239aeffc344,af13085e-c98c-685b-db6c-e71e7a71d7bc|926e47f1-e4c8-529f-87d5-f239aeffc344,0.08,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.06,-0.14,-10.4478,-4.4776,,,
2026-05-01 07:33:55,KXBTC15M-26MAY010745-45,yes,2.0,69,2026-05-01 07:33:55,69.0,69.0,69.0,kalshi_api,3.0,1.38,2.0,aa1a8283-433c-4909-116b-4af6f4c64237,aa1a8283-433c-4909-116b-4af6f4c64237,2026-05-01 07:34:29,53,2026-05-01 07:34:30,53.0,53.0,53.0,kalshi_api,4.0,1.06,2.0,31ad0b9d-6c1f-66c1-8a76-bda316ee7ed7,31ad0b9d-6c1f-66c1-8a76-bda316ee7ed7,0.07,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.32,-0.39,-28.2609,-23.1884,,,
2026-05-01 07:41:01,KXBTC15M-26MAY010745-45,yes,2.0,83,2026-05-01 07:41:01,83.0,82.0,82.0,kalshi_api,3.0,1.64,2.0,d49be725-de7c-59be-0530-f5ea929b4451,d49be725-de7c-59be-0530-f5ea929b4451,2026-05-01 07:42:02,62,2026-05-01 07:42:02,62.0,62.0,62.0,kalshi_api,4.0,1.24,2.0,26af5d43-6819-613f-c07d-b807b4786e1f|ed563f71-4ec5-7997-71ff-7faceb06c7c7,26af5d43-6819-613f-c07d-b807b4786e1f|ed563f71-4ec5-7997-71ff-7faceb06c7c7,0.07,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.4,-0.47,-28.6585,-24.3902,,,
2026-05-01 07:42:03,KXBTC15M-26MAY010745-45,yes,2.0,51,2026-05-01 07:42:03,51.0,51.0,51.0,kalshi_api,4.0,1.02,2.0,0bdec4d6-eb79-7ad8-8e65-ade14bfefb42,0bdec4d6-eb79-7ad8-8e65-ade14bfefb42,2026-05-01 07:42:03,,2026-05-01 07:42:03,62.0,62.0,62.0,none,0.0,1.24,,,,0.04,exited_before_settlement,execution_telemetry_exit,kalshi_api_partial,,0.22,0.18,17.6471,21.5686,,,
2026-05-01 07:57:09,KXBTC15M-26MAY010800-00,yes,2.0,70,2026-05-01 07:57:09,70.0,69.2,69.2,kalshi_api,4.0,1.73,2.5,a420a9e4-aa06-6106-67ff-fb420d6eb243|f2617188-2631-67ff-1453-2e0edad8220a,a420a9e4-aa06-6106-67ff-fb420d6eb243|f2617188-2631-67ff-1453-2e0edad8220a,,,,,,,kalshi_market_result_api,0,,,,,0.04,win,kalshi_api,kalshi_api_fills+market_result,yes,0.77,0.73,42.1965,44.5087,finalized,yes,2026-05-01T12:00:16.696696Z
2026-05-01 08:01:10,KXBTC15M-26MAY010815-15,yes,2.0,61,2026-05-01 08:01:10,61.0,61.0,61.0,kalshi_api,4.0,1.22,2.0,5f86f7f6-f961-74c6-3e39-683aaf834309,5f86f7f6-f961-74c6-3e39-683aaf834309,2026-05-01 08:01:43,41,2026-05-01 08:01:43,41.0,41.0,41.0,kalshi_api,4.0,0.82,2.0,be076d7f-5016-6422-3285-86ea13714124,be076d7f-5016-6422-3285-86ea13714124,0.08,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.4,-0.48,-39.3443,-32.7869,,,
2026-05-01 08:02:26,KXBTC15M-26MAY010815-15,yes,4.0,63,2026-05-01 08:02:26|2026-05-01 08:04:27,66,65.5,65.5,kalshi_api,8.0,2.62,4.0,fa2a4d4d-8673-5e71-1ced-30cbb0fd471e|1cb9db8d-5812-4a01-3603-540f2e2b89f2,fa2a4d4d-8673-5e71-1ced-30cbb0fd471e|1cb9db8d-5812-4a01-3603-540f2e2b89f2,2026-05-01 08:04:57,55,2026-05-01 08:04:57,55.0,55.0,55.0,kalshi_api,7.0,2.2,4.0,ae20287d-d5b4-6b66-9aec-ccf837892f5f,ae20287d-d5b4-6b66-9aec-ccf837892f5f,0.15,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.42,-0.57,-21.7557,-16.0305,,,
2026-05-01 08:12:26,KXBTC15M-26MAY010815-15,yes,2.0,69,2026-05-01 08:12:26,69.0,63.0,63.0,kalshi_api,4.0,1.26,2.0,3ce942e6-8c4a-6f59-734c-c7b3b1b7d2fc,3ce942e6-8c4a-6f59-734c-c7b3b1b7d2fc,2026-05-01 08:13:05,55,2026-05-01 08:13:05,55.0,55.0,55.0,kalshi_api,4.0,1.1,2.0,973a937f-73c6-556c-55ed-19f32ec47a46|b8a7f56b-9952-7938-3060-d62ab95f31a2,973a937f-73c6-556c-55ed-19f32ec47a46|b8a7f56b-9952-7938-3060-d62ab95f31a2,0.08,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.16,-0.24,-19.0476,-12.6984,,,
2026-05-01 08:13:09,KXBTC15M-26MAY010815-15,yes,2.0,90,2026-05-01 08:13:09,90.0,90.0,90.0,kalshi_api,2.0,1.8,2.0,27963e35-723d-5a4e-7d58-8a8d115bcc64,27963e35-723d-5a4e-7d58-8a8d115bcc64,,,,,,,kalshi_market_result_api,0,,,,,0.02,win,kalshi_api,kalshi_api_fills+market_result,yes,0.2,0.18,10.0,11.1111,finalized,yes,2026-05-01T12:15:16.699211Z
2026-05-01 08:16:26,KXBTC15M-26MAY010830-30,yes,2.0,65,2026-05-01 08:16:27,65.0,65.0,65.0,kalshi_api,4.0,1.3,2.0,060e04c5-bf18-6ed8-a021-c523e5afc562,060e04c5-bf18-6ed8-a021-c523e5afc562,2026-05-01 08:16:57,52,2026-05-01 08:16:57,52.0,52.0,52.0,kalshi_api,4.0,1.04,2.0,f9949b0b-00b0-51b1-888a-197b67cb6389,f9949b0b-00b0-51b1-888a-197b67cb6389,0.08,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.26,-0.34,-26.1538,-20.0,,,
2026-05-01 08:17:04,KXBTC15M-26MAY010830-30,yes,6.0,68,2026-05-01 08:17:04|2026-05-01 08:19:04|2026-05-01 08:21:07,77,76.3333,76.3333,kalshi_api,9.0,4.58,6.0,25d9a40d-87db-4a76-0325-36a3a00fe3d3|1220b3ae-f5de-5c83-6354-164719b4b81b|035c5cbb-bc26-592a-be53-576e4d3ab3c7,25d9a40d-87db-4a76-0325-36a3a00fe3d3|1220b3ae-f5de-5c83-6354-164719b4b81b|035c5cbb-bc26-592a-be53-576e4d3ab3c7,,,,,,,kalshi_market_result_api,0,,,,,0.09,win,kalshi_api,kalshi_api_fills+market_result,yes,1.42,1.33,29.0393,31.0044,finalized,yes,2026-05-01T12:30:16.747174Z
2026-05-01 08:30:39,KXBTC15M-26MAY010845-45,yes,6.0,65,2026-05-01 08:30:39|2026-05-01 08:32:39|2026-05-01 08:34:39,76,76.6667,76.6667,kalshi_api,9.0,4.6,6.0,1a50f34d-24b8-6017-ee83-93f90a35ae0f|9175b3fd-039d-659c-5bc0-b64cb4aefe15|b08cef6a-e13d-5c70-4013-d3aec4aa2ca8,1a50f34d-24b8-6017-ee83-93f90a35ae0f|9175b3fd-039d-659c-5bc0-b64cb4aefe15|b08cef6a-e13d-5c70-4013-d3aec4aa2ca8,,,,,,,kalshi_market_result_api,0,,,,,0.09,win,kalshi_api,kalshi_api_fills+market_result,yes,1.4,1.31,28.4783,30.4348,finalized,yes,2026-05-01T12:45:06.695253Z
2026-05-01 08:46:22,KXBTC15M-26MAY010900-00,yes,2.0,68,2026-05-01 08:46:22,68.0,,68.0,bot_log_estimate,0,1.36,,,,2026-05-01 08:46:52,55,2026-05-01 08:46:53,55.0,,55.0,none,0.0,1.1,,,,0.0,exited_before_settlement,bot_exit_signal,exchange_reconciliation_log,,-0.26,-0.26,-19.1176,-19.1176,,,
2026-05-01 08:46:59,KXBTC15M-26MAY010900-00,yes,2.0,70,2026-05-01 08:46:59,70.0,,70.0,bot_log_estimate,0,1.4,,,,2026-05-01 08:48:06,66,2026-05-01 08:48:06,66.0,,66.0,none,0.0,1.32,,,,0.0,exited_before_settlement,bot_exit_signal,exchange_reconciliation_log,,-0.08,-0.08,-5.7143,-5.7143,,,
2026-05-01 09:00:46,KXBTC15M-26MAY010915-15,yes,4.0,70,2026-05-01 09:00:46|2026-05-01 09:02:46,80,80.0,80.0,kalshi_api,5.0,3.2,4.0,7ef18e1e-9588-7dc1-698d-98415a7f2b2e|cf1f9a3c-4b5d-5ab2-9e06-96bf0aade16f,7ef18e1e-9588-7dc1-698d-98415a7f2b2e|cf1f9a3c-4b5d-5ab2-9e06-96bf0aade16f,,,,,,,kalshi_market_result_api,0,,,,,0.05,win,kalshi_api,kalshi_api_fills+market_result,yes,0.8,0.75,23.4375,25.0,finalized,yes,2026-05-01T13:15:16.745694Z
