market,result,status,settlement_ts,close_time,watch_close_time,watch_status,first_seen_ts,last_seen_ts,heartbeat_count,source
KXBTC15M-26MAY080030-30,no,finalized,2026-05-08T04:30:14.949866Z,2026-05-08T04:30:00Z,2026-05-08T04:30:00Z,active,2026-05-08 00:15:39,2026-05-08 00:30:27,59,kalshi_api
KXBTC15M-26MAY080045-45,no,determined,,2026-05-08T04:45:00Z,2026-05-08T04:45:00Z,active,2026-05-08 00:30:31,2026-05-08 00:45:19,59,kalshi_api
KXBTC15M-26MAY080100-00,yes,finalized,2026-05-08T05:00:14.997356Z,2026-05-08T05:00:00Z,2026-05-08T05:00:00Z,active,2026-05-08 00:45:30,2026-05-08 01:00:31,60,kalshi_api
KXBTC15M-26MAY080115-15,no,finalized,2026-05-08T05:15:14.954704Z,2026-05-08T05:15:00Z,2026-05-08T05:15:00Z,active,2026-05-08 01:00:45,2026-05-08 01:15:05,57,kalshi_api
KXBTC15M-26MAY080130-30,no,finalized,2026-05-08T05:30:14.999665Z,2026-05-08T05:30:00Z,2026-05-08T05:30:00Z,active,2026-05-08 01:15:15,2026-05-08 01:30:15,59,kalshi_api
KXBTC15M-26MAY080145-45,yes,finalized,2026-05-08T05:45:14.948632Z,2026-05-08T05:45:00Z,2026-05-08T05:45:00Z,active,2026-05-08 01:30:15,2026-05-08 01:45:11,58,kalshi_api
KXBTC15M-26MAY080200-00,no,finalized,2026-05-08T06:00:14.947781Z,2026-05-08T06:00:00Z,2026-05-08T06:00:00Z,active,2026-05-08 01:45:15,2026-05-08 02:00:12,59,kalshi_api
KXBTC15M-26MAY080215-15,no,finalized,2026-05-08T06:15:14.997062Z,2026-05-08T06:15:00Z,2026-05-08T06:15:00Z,active,2026-05-08 02:00:16,2026-05-08 02:15:20,59,kalshi_api
KXBTC15M-26MAY080230-30,no,finalized,2026-05-08T06:30:15.001721Z,2026-05-08T06:30:00Z,2026-05-08T06:30:00Z,closed,2026-05-08 02:15:30,2026-05-08 02:30:16,58,kalshi_api
KXBTC15M-26MAY080245-45,yes,finalized,2026-05-08T06:45:14.999792Z,2026-05-08T06:45:00Z,2026-05-08T06:45:00Z,active,2026-05-08 02:30:30,2026-05-08 02:45:18,59,kalshi_api
KXBTC15M-26MAY080300-00,no,determined,,2026-05-08T07:00:00Z,2026-05-08T07:00:00Z,active,2026-05-08 02:45:30,2026-05-08 03:00:39,60,kalshi_api
KXBTC15M-26MAY080315-15,no,finalized,2026-05-08T07:15:14.948126Z,2026-05-08T07:15:00Z,2026-05-08T07:15:00Z,active,2026-05-08 03:00:45,2026-05-08 08:26:18,17,kalshi_api
KXBTC15M-26MAY080830-30,yes,finalized,2026-05-08T12:30:14.948067Z,2026-05-08T12:30:00Z,2026-05-08T12:30:00Z,active,2026-05-08 08:26:20,2026-05-08 08:30:18,16,kalshi_api
KXBTC15M-26MAY080845-45,no,finalized,2026-05-08T12:45:15.000391Z,2026-05-08T12:45:00Z,2026-05-08T12:45:00Z,active,2026-05-08 08:30:32,2026-05-08 08:45:19,60,kalshi_api
KXBTC15M-26MAY080900-00,no,finalized,2026-05-08T13:00:14.946721Z,2026-05-08T13:00:00Z,2026-05-08T13:00:00Z,active,2026-05-08 08:45:32,2026-05-08 09:00:21,60,kalshi_api
KXBTC15M-26MAY080915-15,no,finalized,2026-05-08T13:15:14.951257Z,2026-05-08T13:15:00Z,2026-05-08T13:15:00Z,active,2026-05-08 09:00:32,2026-05-08 09:15:07,59,kalshi_api
KXBTC15M-26MAY080930-30,no,finalized,2026-05-08T13:30:14.953905Z,2026-05-08T13:30:00Z,2026-05-08T13:30:00Z,active,2026-05-08 09:15:17,2026-05-08 09:30:08,60,kalshi_api
KXBTC15M-26MAY080945-45,no,determined,,2026-05-08T13:45:00Z,2026-05-08T13:45:00Z,active,2026-05-08 09:30:17,2026-05-08 09:45:10,60,kalshi_api
KXBTC15M-26MAY081000-00,,active,,2026-05-08T14:00:00Z,2026-05-08T14:00:00Z,active,2026-05-08 09:45:17,2026-05-08 09:59:26,57,kalshi_api
