entry_ts,market,side,qty,entry_trigger_cents,entry_fill_cents_assumed,entry_fill_cents_actual,entry_fill_cents_used,entry_fee_cents,total_fees_dollars,entry_notional_dollars,exit_ts,exit_trigger_cents,exit_fill_cents_assumed,exit_fill_cents_actual,exit_fill_cents_used,exit_fee_cents,exit_notional_dollars,outcome,resolution_source,result,gross_pnl_dollars,net_pnl_dollars,net_pnl_percent,gross_pnl_percent,market_status,market_result,settlement_ts
2026-05-08 00:23:06,KXBTC15M-26MAY080030-30,no,1,23,23,23.0,23.0,2.0,0.04,0.23,2026-05-08 00:24:05,20,20.0,20.0,20.0,2.0,0.2,exited_before_settlement,bot_exit_signal,,-0.03,-0.07,-30.4348,-13.0435,,,
2026-05-08 00:45:36,KXBTC15M-26MAY080100-00,yes,1,66,66,66.0,66.0,2.0,0.04,0.66,2026-05-08 00:47:05,75,75.0,75.0,75.0,2.0,0.75,exited_before_settlement,bot_exit_signal,,0.09,0.05,7.5758,13.6364,,,
2026-05-08 01:45:15,KXBTC15M-26MAY080200-00,no,1,51,51,51.0,51.0,2.0,0.04,0.51,2026-05-08 01:51:08,81,81.0,81.0,81.0,2.0,0.81,exited_before_settlement,bot_exit_signal,,0.3,0.26,50.9804,58.8235,,,
2026-05-08 02:02:07,KXBTC15M-26MAY080215-15,no,1,86,86,86.0,86.0,1.0,0.02,0.86,2026-05-08 02:02:38,84,84.0,84.0,84.0,1.0,0.84,exited_before_settlement,bot_exit_signal,,-0.02,-0.04,-4.6512,-2.3256,,,
2026-05-08 02:26:16,KXBTC15M-26MAY080230-30,yes,1,16,16,16.0,16.0,1.0,0.01,0.16,,,,,,0,,loss,kalshi_api,no,-0.16,-0.17,-106.25,-100.0,finalized,no,2026-05-08T06:30:15.001721Z
2026-05-08 02:35:27,KXBTC15M-26MAY080245-45,yes,1,6,6,5.8,5.8,1.2,0.032,0.058,2026-05-08 02:39:07,19,19.0,19.0,19.0,2.0,0.19,exited_before_settlement,bot_exit_signal,,0.132,0.1,172.4138,227.5862,,,
2026-05-08 02:54:44,KXBTC15M-26MAY080300-00,yes,1,9,9,9.0,9.0,1.0,0.02,0.09,2026-05-08 02:55:15,14,14.0,14.0,14.0,1.0,0.14,exited_before_settlement,bot_exit_signal,,0.05,0.03,33.3333,55.5556,,,
2026-05-08 08:27:33,KXBTC15M-26MAY080830-30,no,1,3,3,2.8,2.8,0.2,0.005,0.028,2026-05-08 08:28:07,4,4.0,4.3,4.3,0.3,0.043,exited_before_settlement,bot_exit_signal,,0.015,0.01,35.7143,53.5714,,,
2026-05-08 08:38:17,KXBTC15M-26MAY080845-45,yes,1,11,11,11.0,11.0,1.0,0.02,0.11,2026-05-08 08:38:49,15,15.0,15.0,15.0,1.0,0.15,exited_before_settlement,bot_exit_signal,,0.04,0.02,18.1818,36.3636,,,
2026-05-08 08:55:04,KXBTC15M-26MAY080900-00,yes,1,4,4,3.7,3.7,0.3,0.015,0.037,2026-05-08 08:55:44,4,4.0,4.2,4.2,1.2,0.042,exited_before_settlement,bot_exit_signal,,0.005,-0.01,-27.027,13.5135,,,
2026-05-08 09:09:47,KXBTC15M-26MAY080915-15,yes,1,4,4,3.7,3.7,0.3,0.014,0.037,2026-05-08 09:10:18,7,7.0,7.1,7.1,1.1,0.071,exited_before_settlement,bot_exit_signal,,0.034,0.02,54.0541,91.8919,,,
2026-05-08 09:26:20,KXBTC15M-26MAY080930-30,yes,1,11,11,11.0,11.0,1.0,0.016,0.11,2026-05-08 09:26:52,4,4.0,4.6,4.6,0.6,0.046,exited_before_settlement,bot_exit_signal,,-0.064,-0.08,-72.7273,-58.1818,,,
2026-05-08 09:35:32,KXBTC15M-26MAY080945-45,yes,1,82,82,82.0,82.0,2.0,0.03,0.82,2026-05-08 09:39:55,85,85.0,85.0,85.0,1.0,0.85,exited_before_settlement,bot_exit_signal,,0.03,0.0,0.0,3.6585,,,
