market,result,status,settlement_ts,close_time,watch_close_time,watch_status,first_seen_ts,last_seen_ts,heartbeat_count,source
KXBTC15M-26MAY081315-15,yes,finalized,2026-05-08T17:15:14.953205Z,2026-05-08T17:15:00Z,2026-05-08T17:15:00Z,active,2026-05-08 13:00:59,2026-05-08 13:15:16,58,kalshi_api
KXBTC15M-26MAY081330-30,yes,finalized,2026-05-08T17:30:14.952091Z,2026-05-08T17:30:00Z,2026-05-08T17:30:00Z,active,2026-05-08 13:15:16,2026-05-08 13:30:17,60,kalshi_api
KXBTC15M-26MAY081345-45,yes,finalized,2026-05-08T17:50:34.952819Z,2026-05-08T17:45:00Z,2026-05-08T17:45:00Z,closed,2026-05-08 13:30:17,2026-05-08 13:45:18,60,kalshi_api
KXBTC15M-26MAY081400-00,no,determined,,2026-05-08T18:00:00Z,2026-05-08T18:00:00Z,active,2026-05-08 13:45:32,2026-05-08 14:00:20,60,kalshi_api
KXBTC15M-26MAY081415-15,yes,finalized,2026-05-08T18:15:14.95222Z,2026-05-08T18:15:00Z,2026-05-08T18:15:00Z,active,2026-05-08 14:00:32,2026-05-08 14:15:21,60,kalshi_api
KXBTC15M-26MAY081430-30,yes,finalized,2026-05-08T18:30:16.952049Z,2026-05-08T18:30:00Z,2026-05-08T18:30:00Z,active,2026-05-08 14:15:32,2026-05-08 14:30:22,60,kalshi_api
KXBTC15M-26MAY081445-45,no,finalized,2026-05-08T18:45:16.949758Z,2026-05-08T18:45:00Z,2026-05-08T18:45:00Z,active,2026-05-08 14:30:32,2026-05-08 14:45:08,59,kalshi_api
KXBTC15M-26MAY081500-00,no,determined,,2026-05-08T19:00:00Z,2026-05-08T19:00:00Z,active,2026-05-08 14:45:16,2026-05-08 15:00:10,60,kalshi_api
KXBTC15M-26MAY081515-15,no,finalized,2026-05-08T19:15:17.004269Z,2026-05-08T19:15:00Z,2026-05-08T19:15:00Z,active,2026-05-08 15:00:17,2026-05-08 15:15:11,60,kalshi_api
KXBTC15M-26MAY081530-30,no,finalized,2026-05-08T19:30:16.954647Z,2026-05-08T19:30:00Z,2026-05-08T19:30:00Z,active,2026-05-08 15:15:17,2026-05-08 15:30:12,60,kalshi_api
KXBTC15M-26MAY081545-45,yes,finalized,2026-05-08T19:45:06.945736Z,2026-05-08T19:45:00Z,2026-05-08T19:45:00Z,active,2026-05-08 15:30:17,2026-05-08 15:45:28,61,kalshi_api
KXBTC15M-26MAY081600-00,yes,finalized,2026-05-08T20:00:16.949073Z,2026-05-08T20:00:00Z,2026-05-08T20:00:00Z,active,2026-05-08 15:45:32,2026-05-08 16:00:31,60,kalshi_api
KXBTC15M-26MAY081615-15,yes,finalized,2026-05-08T20:15:16.949059Z,2026-05-08T20:15:00Z,2026-05-08T20:15:00Z,active,2026-05-08 16:00:32,2026-05-08 16:15:17,59,kalshi_api
KXBTC15M-26MAY081630-30,,active,,2026-05-08T20:30:00Z,2026-05-08T20:30:00Z,active,2026-05-08 16:15:32,2026-05-08 16:18:33,13,kalshi_api
