entry_ts,market,side,qty,entry_trigger_cents,entry_fill_event_ts_list,entry_fill_cents_assumed,entry_fill_cents_actual,entry_fill_cents_used,entry_accounting_source,entry_fee_cents,entry_notional_dollars,entry_exchange_qty,entry_exchange_fill_ids,entry_api_fill_ids,exit_ts,exit_trigger_cents,exit_fill_event_ts_list,exit_fill_cents_assumed,exit_fill_cents_actual,exit_fill_cents_used,exit_accounting_source,exit_fee_cents,exit_notional_dollars,exit_exchange_qty,exit_exchange_fill_ids,exit_api_fill_ids,total_fees_dollars,outcome,resolution_source,accounting_source,result,gross_pnl_dollars,net_pnl_dollars,net_pnl_percent,gross_pnl_percent,market_status,market_result,settlement_ts
2026-05-10 19:23:58,KXBTC15M-26MAY101930-30,yes,2.0,14,2026-05-10 19:23:58,14.0,14.0,14.0,exchange_reconciliation_log,2.0,0.28,2.0,6d0d4089-ded3-5cc7-84eb-06f50b358d80,,2026-05-10 19:24:29,15,2026-05-10 19:24:29,15.0,16.0,16.0,exchange_reconciliation_log,2.0,0.32,2.0,c20c206f-73b3-7f68-d6d5-393bbc15b85b,,0.04,exited_before_settlement,bot_exit_signal,exchange_reconciliation_log,,0.04,0.0,0.0,14.2857,,,
2026-05-10 19:38:36,KXBTC15M-26MAY101945-45,no,2.0,9,2026-05-10 19:38:36,9.0,9.0,9.0,exchange_reconciliation_log,2.0,0.18,2.0,8bcf6d4d-8db2-56b7-bda4-4711dbc613f2,,2026-05-10 19:39:13,10,2026-05-10 19:39:13,10.0,11.0,11.0,exchange_reconciliation_log,1.0,0.11,1.0,45e1096e-d7f5-4259-c69d-1c9b0fea9c4a,,0.03,exited_before_settlement,bot_exit_signal,exchange_reconciliation_log,,-0.07,-0.1,-55.5556,-38.8889,,,
2026-05-10 20:00:12,KXBTC15M-26MAY102015-15,yes,3.0,65,2026-05-10 20:00:12,65,65.0,65.0,exchange_reconciliation_log,6.0,1.95,3.0,7225d201-b31c-4a24-16b2-fd3d33837fd1|0fb1a966-6140-74f8-25ce-cedc1d8fec0d,,2026-05-10 20:01:52,67,2026-05-10 20:01:52,67.0,67.0,67.0,exchange_reconciliation_log,6.0,2.01,3.0,d9688052-d3ec-7f19-406c-126b7581bbed|ab1e0e0b-94b0-7ca5-63ae-9bd2c0d75092,,0.12,exited_before_settlement,bot_exit_signal,exchange_reconciliation_log,,0.06,-0.06,-3.0769,3.0769,,,
2026-05-10 20:06:14,KXBTC15M-26MAY102015-15,no,3.0,76,2026-05-10 20:06:15,76,76.0,76.0,exchange_reconciliation_log,5.0,2.28,3.0,30282064-044f-66c9-9b08-c86ed93192e0|b9a2da04-0bb3-4125-f266-8da9f7cb52fc,,2026-05-10 20:10:49,98,2026-05-10 20:10:49,98.0,98.4,98.4,exchange_reconciliation_log,1.2,2.952,3.0,1efd5b36-049f-79b3-ad47-13e92ab6bb1d,,0.062,exited_before_settlement,bot_exit_signal,exchange_reconciliation_log,,0.672,0.61,26.7544,29.4737,,,
2026-05-10 20:15:45,KXBTC15M-26MAY102030-30,no,3.0,75,2026-05-10 20:15:45|2026-05-10 20:15:46,76,76.0,76.0,exchange_reconciliation_log,5.0,2.28,3.0,afebb093-98d6-7b1a-339e-8538026323ba|1d3cb5e0-5637-5a71-4c10-a49c3cec72ce,,2026-05-10 20:16:20,73,2026-05-10 20:16:20,73.0,73.0,73.0,exchange_reconciliation_log,5.0,2.19,3.0,8b00e01e-c110-407f-e417-a31ae85cb85e|d71612c0-bc28-4f87-b7f4-0b02499a3746,,0.1,exited_before_settlement,bot_exit_signal,exchange_reconciliation_log,,-0.09,-0.19,-8.3333,-3.9474,,,
2026-05-10 20:16:26,KXBTC15M-26MAY102030-30,no,3.0,77,2026-05-10 20:16:26,77,77.0,77.0,exchange_reconciliation_log,5.0,2.31,3.0,48343489-27c1-71a5-0175-d97cb78a2c7f|23e5897a-c6f1-6479-095c-06bd1721485f,,2026-05-10 20:16:58,66,2026-05-10 20:16:58,66.0,66.0,66.0,exchange_reconciliation_log,5.0,1.98,3.0,17c8584f-8583-5c7e-6802-df5805e93be2,,0.1,exited_before_settlement,bot_exit_signal,exchange_reconciliation_log,,-0.33,-0.43,-18.6147,-14.2857,,,
2026-05-10 20:17:27,KXBTC15M-26MAY102030-30,no,3.0,83,2026-05-10 20:17:27|2026-05-10 20:17:30,83,83.3333,83.3333,exchange_reconciliation_log,3.0,2.5,3.0,f1f5f377-472d-71b0-8657-6e0c44986cef|c8601d1b-dcee-77cd-e2d3-17067025be03,,2026-05-10 20:19:03,92,2026-05-10 20:19:03,92.0,92.4,92.4,exchange_reconciliation_log,2.2,2.772,3.0,e0955f42-3950-6ae2-ed0a-c4c9506c9edb,,0.052,exited_before_settlement,bot_exit_signal,exchange_reconciliation_log,,0.272,0.22,8.8,10.88,,,
2026-05-10 20:25:09,KXBTC15M-26MAY102030-30,yes,1.0,8,2026-05-10 20:25:09,8.0,8.0,8.0,exchange_reconciliation_log,1.0,0.08,1.0,d1915772-259f-76b4-83cd-6babdf08b1d6,,2026-05-10 20:25:39,14,2026-05-10 20:25:39,14.0,15.0,15.0,exchange_reconciliation_log,1.0,0.15,1.0,c2568211-775a-6771-03a5-d08be158af2a,,0.02,exited_before_settlement,bot_exit_signal,exchange_reconciliation_log,,0.07,0.05,62.5,87.5,,,
2026-05-10 20:31:39,KXBTC15M-26MAY102045-45,yes,2.0,76,2026-05-10 20:31:39,76.0,76.0,76.0,exchange_reconciliation_log,3.0,1.52,2.0,1784f1cd-5bd0-5774-8e25-80d8dafbc15c,,2026-05-10 20:32:10,78,2026-05-10 20:32:10,78.0,79.0,79.0,exchange_reconciliation_log,4.0,1.58,2.0,79b76376-4865-7cb5-b150-ad784f154e98|20808b48-1b4e-5d7e-84c1-3879de96d5d7,,0.07,exited_before_settlement,bot_exit_signal,exchange_reconciliation_log,,0.06,-0.01,-0.6579,3.9474,,,
2026-05-10 20:36:35,KXBTC15M-26MAY102045-45,no,2.0,14,2026-05-10 20:36:35,14.0,14.0,14.0,exchange_reconciliation_log,2.0,0.28,2.0,2a7bbda0-7975-697f-1c53-e0e69d5a9709,,2026-05-10 20:37:25,13,2026-05-10 20:37:25,13.0,13.0,13.0,exchange_reconciliation_log,1.0,0.13,1.0,a2040fb2-5cee-60ce-b4af-a5bcea078e43,,0.03,exited_before_settlement,bot_exit_signal,exchange_reconciliation_log,,-0.15,-0.18,-64.2857,-53.5714,,,
2026-05-10 20:41:25,KXBTC15M-26MAY102045-45,yes,2.0,14,2026-05-10 20:41:25,14.0,14.0,14.0,exchange_reconciliation_log,2.0,0.28,2.0,60ad2424-3280-492a-8350-6c3436cb06fe,,2026-05-10 20:41:56,3,2026-05-10 20:41:56,3.0,3.2,3.2,exchange_reconciliation_log,1.4,0.064,2.0,d917742b-f1c6-6f93-5bcf-78cdfdc8de1b,,0.034,exited_before_settlement,bot_exit_signal,exchange_reconciliation_log,,-0.216,-0.25,-89.2857,-77.1429,,,
2026-05-10 21:01:32,KXBTC15M-26MAY102115-15,no,3.0,76,2026-05-10 21:01:32|2026-05-10 21:01:33,76,75.3333,75.3333,exchange_reconciliation_log,5.0,2.26,3.0,2c96779e-1fe9-750f-c1d4-e055349f893e|487ee85b-6dee-6ce1-9915-85e42563eaf2,,2026-05-10 21:02:05,71,2026-05-10 21:02:05,71.0,72.0,72.0,exchange_reconciliation_log,5.0,2.16,3.0,e1949c93-9eff-4430-564b-e2087334d36b|ccc954b5-cf37-678c-9002-116c76c2a6b7,,0.1,exited_before_settlement,bot_exit_signal,exchange_reconciliation_log,,-0.1,-0.2,-8.8496,-4.4248,,,
2026-05-10 21:02:25,KXBTC15M-26MAY102115-15,no,3.0,74,2026-05-10 21:02:25,74,74.0,74.0,exchange_reconciliation_log,5.0,2.22,3.0,5eb56d6b-0cab-5924-74b0-40871d81d6ae|7680203e-6a93-539c-cb28-65f5b72eb98a,,2026-05-10 21:03:04,73,2026-05-10 21:03:05,73.0,73.0,73.0,exchange_reconciliation_log,5.0,2.19,3.0,513b30b0-07b3-4231-164f-91f51df2c412|80581206-3477-501d-5243-21e89228d6aa,,0.1,exited_before_settlement,bot_exit_signal,exchange_reconciliation_log,,-0.03,-0.13,-5.8559,-1.3514,,,
2026-05-10 21:11:14,KXBTC15M-26MAY102115-15,yes,2.0,13,2026-05-10 21:11:14,13.0,13.0,13.0,exchange_reconciliation_log,2.0,0.26,2.0,10523f62-6046-583c-b8c8-a00a58beec08,,2026-05-10 21:11:44,50,2026-05-10 21:11:45,50.0,50.0,50.0,exchange_reconciliation_log,4.0,1.0,2.0,05b7d107-8c1a-7064-c39e-84b824a02fdd,,0.06,exited_before_settlement,bot_exit_signal,exchange_reconciliation_log,,0.74,0.68,261.5385,284.6154,,,
2026-05-10 21:12:45,KXBTC15M-26MAY102115-15,no,2.0,7,2026-05-10 21:12:45,7.0,7.0,7.0,exchange_reconciliation_log,1.0,0.14,2.0,7fe7568d-f16e-4f2b-ae80-c3c225591b4e,,,,,,,,kalshi_market_result_api,0,,,,,0.01,loss,kalshi_api,exchange_reconciliation_log+market_result,yes,-0.14,-0.15,-107.1429,-100.0,finalized,yes,2026-05-11T01:15:15.906705Z
2026-05-10 21:22:24,KXBTC15M-26MAY102130-30,no,2.0,13,2026-05-10 21:22:24,13.0,13.0,13.0,exchange_reconciliation_log,2.0,0.26,2.0,f76cd14e-4857-6062-45b6-9064aa415925,,2026-05-10 21:22:59,6,2026-05-10 21:22:59,6.0,6.1,6.1,exchange_reconciliation_log,1.1,0.061,1.0,85d10ac5-bcfc-692a-5052-1c9f687d1518,,0.031,exited_before_settlement,bot_exit_signal,exchange_reconciliation_log,,-0.199,-0.23,-88.4615,-76.5385,,,
2026-05-10 21:38:32,KXBTC15M-26MAY102145-45,yes,2.0,7,2026-05-10 21:38:32,7.0,6.8,6.8,exchange_reconciliation_log,1.4,0.136,2.0,8e68f07d-d9db-6645-a334-906ba3382d5d,,2026-05-10 21:39:03,6,2026-05-10 21:39:03,6.0,6.2,6.2,exchange_reconciliation_log,1.4,0.124,2.0,55597ed0-8df0-532e-c6bc-cb8fc79be0b3,,0.028,exited_before_settlement,bot_exit_signal,exchange_reconciliation_log,,-0.012,-0.04,-29.4118,-8.8235,,,
2026-05-10 21:39:24,KXBTC15M-26MAY102145-45,yes,2.0,7,2026-05-10 21:39:24,7.0,6.8,6.8,exchange_reconciliation_log,1.4,0.136,2.0,8c9603a0-9cd8-63a9-dbff-464e20f6b082,,2026-05-10 21:39:54,4,2026-05-10 21:39:54,4.0,4.0,4.0,exchange_reconciliation_log,1.0,0.08,2.0,a9bed712-64f9-6f98-3f97-7267013271bf,,0.024,exited_before_settlement,bot_exit_signal,exchange_reconciliation_log,,-0.056,-0.08,-58.8235,-41.1765,,,
