market,result,status,settlement_ts,close_time,watch_close_time,watch_status,first_seen_ts,last_seen_ts,heartbeat_count,source
KXBTC15M-26MAY101930-30,no,finalized,2026-05-10T23:30:15.904849Z,2026-05-10T23:30:00Z,2026-05-10T23:30:00Z,active,2026-05-10 19:21:10,2026-05-10 19:30:26,38,kalshi_api
KXBTC15M-26MAY101945-45,yes,finalized,2026-05-10T23:45:15.902279Z,2026-05-10T23:45:00Z,2026-05-10T23:45:00Z,active,2026-05-10 19:30:35,2026-05-10 19:44:50,58,kalshi_api
KXBTC15M-26MAY102000-00,no,finalized,2026-05-11T00:00:15.85703Z,2026-05-11T00:00:00Z,2026-05-11T00:00:00Z,active,2026-05-10 19:45:05,2026-05-10 19:59:55,60,kalshi_api
KXBTC15M-26MAY102015-15,no,finalized,2026-05-11T00:15:15.898602Z,2026-05-11T00:15:00Z,2026-05-11T00:15:00Z,active,2026-05-10 20:00:04,2026-05-10 20:15:11,61,kalshi_api
KXBTC15M-26MAY102030-30,no,finalized,2026-05-11T00:30:15.902631Z,2026-05-11T00:30:00Z,2026-05-11T00:30:00Z,active,2026-05-10 20:15:19,2026-05-10 20:30:16,60,kalshi_api
KXBTC15M-26MAY102045-45,no,finalized,2026-05-11T00:45:15.906069Z,2026-05-11T00:45:00Z,2026-05-11T00:45:00Z,active,2026-05-10 20:30:19,2026-05-10 20:45:06,59,kalshi_api
KXBTC15M-26MAY102100-00,no,finalized,2026-05-11T01:00:16.249584Z,2026-05-11T01:00:00Z,2026-05-11T01:00:00Z,active,2026-05-10 20:45:19,2026-05-10 21:00:10,59,kalshi_api
KXBTC15M-26MAY102115-15,yes,finalized,2026-05-11T01:15:15.906705Z,2026-05-11T01:15:00Z,2026-05-11T01:15:00Z,closed,2026-05-10 21:00:19,2026-05-10 21:15:17,60,kalshi_api
KXBTC15M-26MAY102130-30,yes,finalized,2026-05-11T01:30:15.854344Z,2026-05-11T01:30:00Z,2026-05-11T01:30:00Z,active,2026-05-10 21:15:19,2026-05-10 21:30:10,59,kalshi_api
KXBTC15M-26MAY102145-45,no,finalized,2026-05-11T01:45:15.904064Z,2026-05-11T01:45:00Z,2026-05-11T01:45:00Z,closed,2026-05-10 21:30:19,2026-05-10 21:45:06,58,kalshi_api
KXBTC15M-26MAY102200-00,no,finalized,2026-05-11T02:00:15.899029Z,2026-05-11T02:00:00Z,2026-05-11T02:00:00Z,closed,2026-05-10 21:45:19,2026-05-10 22:00:19,59,kalshi_api
KXBTC15M-26MAY102215-15,no,finalized,2026-05-11T02:15:15.954219Z,2026-05-11T02:15:00Z,2026-05-11T02:15:00Z,active,2026-05-10 22:00:19,2026-05-10 22:11:34,43,kalshi_api
KXBTC15M-26MAY102230-30,no,finalized,2026-05-11T02:30:15.90337Z,2026-05-11T02:30:00Z,2026-05-11T02:30:00Z,active,2026-05-10 22:16:26,2026-05-10 22:30:18,56,kalshi_api
KXBTC15M-26MAY102245-45,no,finalized,2026-05-11T02:45:15.909417Z,2026-05-11T02:45:00Z,2026-05-11T02:45:00Z,closed,2026-05-10 22:30:19,2026-05-10 22:45:09,59,kalshi_api
KXBTC15M-26MAY102300-00,no,finalized,2026-05-11T03:00:15.955339Z,2026-05-11T03:00:00Z,2026-05-11T03:00:00Z,active,2026-05-10 22:45:19,2026-05-10 23:00:31,60,kalshi_api
KXBTC15M-26MAY102315-15,no,finalized,2026-05-11T03:15:15.955635Z,2026-05-11T03:15:00Z,2026-05-11T03:15:00Z,active,2026-05-10 23:00:34,2026-05-10 23:15:26,59,kalshi_api
KXBTC15M-26MAY102330-30,no,finalized,2026-05-11T03:30:15.859706Z,2026-05-11T03:30:00Z,2026-05-11T03:30:00Z,active,2026-05-10 23:15:34,2026-05-10 23:30:26,59,kalshi_api
KXBTC15M-26MAY102345-45,yes,finalized,2026-05-11T03:45:15.905007Z,2026-05-11T03:45:00Z,2026-05-11T03:45:00Z,closed,2026-05-10 23:30:34,2026-05-10 23:45:30,59,kalshi_api
KXBTC15M-26MAY110000-00,yes,finalized,2026-05-11T04:00:14.671092Z,2026-05-11T04:00:00Z,2026-05-11T04:00:00Z,active,2026-05-10 23:45:33,2026-05-10 23:47:32,8,kalshi_api
KXBTC15M-26MAY110100-00,yes,finalized,2026-05-11T05:00:15.906879Z,2026-05-11T05:00:00Z,2026-05-11T05:00:00Z,active,2026-05-11 00:51:04,2026-05-11 01:00:04,37,kalshi_api
KXBTC15M-26MAY110115-15,yes,finalized,2026-05-11T05:15:15.906694Z,2026-05-11T05:15:00Z,2026-05-11T05:15:00Z,active,2026-05-11 01:00:05,2026-05-11 01:14:51,59,kalshi_api
KXBTC15M-26MAY110130-30,yes,finalized,2026-05-11T05:30:15.904012Z,2026-05-11T05:30:00Z,2026-05-11T05:30:00Z,active,2026-05-11 01:15:05,2026-05-11 01:29:52,60,kalshi_api
KXBTC15M-26MAY110145-45,no,finalized,2026-05-11T05:45:15.849954Z,2026-05-11T05:45:00Z,2026-05-11T05:45:00Z,active,2026-05-11 01:30:05,2026-05-11 01:45:10,61,kalshi_api
KXBTC15M-26MAY110200-00,yes,finalized,2026-05-11T06:00:15.852704Z,2026-05-11T06:00:00Z,2026-05-11T06:00:00Z,active,2026-05-11 01:45:18,2026-05-11 02:00:11,60,kalshi_api
KXBTC15M-26MAY110215-15,yes,finalized,2026-05-11T06:15:15.853255Z,2026-05-11T06:15:00Z,2026-05-11T06:15:00Z,closed,2026-05-11 02:00:19,2026-05-11 02:15:12,60,kalshi_api
KXBTC15M-26MAY110230-30,yes,finalized,2026-05-11T06:30:15.85389Z,2026-05-11T06:30:00Z,2026-05-11T06:30:00Z,closed,2026-05-11 02:15:19,2026-05-11 02:30:14,60,kalshi_api
KXBTC15M-26MAY110245-45,no,finalized,2026-05-11T06:45:15.846535Z,2026-05-11T06:45:00Z,2026-05-11T06:45:00Z,active,2026-05-11 02:30:19,2026-05-11 02:45:15,60,kalshi_api
KXBTC15M-26MAY110300-00,yes,finalized,2026-05-11T07:07:39.017336Z,2026-05-11T07:00:00Z,2026-05-11T07:00:00Z,closed,2026-05-11 02:45:19,2026-05-11 03:00:16,60,kalshi_api
KXBTC15M-26MAY110315-15,no,finalized,2026-05-11T07:15:15.844924Z,2026-05-11T07:15:00Z,2026-05-11T07:15:00Z,active,2026-05-11 03:00:19,2026-05-11 03:15:33,61,kalshi_api
KXBTC15M-26MAY110330-30,no,finalized,2026-05-11T07:30:15.851441Z,2026-05-11T07:30:00Z,2026-05-11T07:30:00Z,active,2026-05-11 03:15:34,2026-05-11 03:30:19,59,kalshi_api
KXBTC15M-26MAY110345-45,no,finalized,2026-05-11T07:45:16.051811Z,2026-05-11T07:45:00Z,2026-05-11T07:45:00Z,active,2026-05-11 03:30:34,2026-05-11 03:45:21,60,kalshi_api
KXBTC15M-26MAY110400-00,yes,finalized,2026-05-11T08:00:15.845502Z,2026-05-11T08:00:00Z,2026-05-11T08:00:00Z,active,2026-05-11 03:45:34,2026-05-11 04:00:23,60,kalshi_api
KXBTC15M-26MAY110415-15,no,finalized,2026-05-11T08:15:15.849995Z,2026-05-11T08:15:00Z,2026-05-11T08:15:00Z,closed,2026-05-11 04:00:33,2026-05-11 04:15:24,60,kalshi_api
KXBTC15M-26MAY110430-30,no,finalized,2026-05-11T08:30:15.851801Z,2026-05-11T08:30:00Z,2026-05-11T08:30:00Z,closed,2026-05-11 04:15:34,2026-05-11 04:30:25,60,kalshi_api
KXBTC15M-26MAY110445-45,yes,finalized,2026-05-11T08:45:15.852343Z,2026-05-11T08:45:00Z,2026-05-11T08:45:00Z,closed,2026-05-11 04:30:34,2026-05-11 04:45:27,60,kalshi_api
KXBTC15M-26MAY110500-00,no,finalized,2026-05-11T09:00:15.846784Z,2026-05-11T09:00:00Z,2026-05-11T09:00:00Z,active,2026-05-11 04:45:34,2026-05-11 04:59:58,58,kalshi_api
KXBTC15M-26MAY110515-15,yes,finalized,2026-05-11T09:15:15.847962Z,2026-05-11T09:15:00Z,2026-05-11T09:15:00Z,active,2026-05-11 05:00:04,2026-05-11 05:15:00,60,kalshi_api
KXBTC15M-26MAY110530-30,no,finalized,2026-05-11T09:30:16.046525Z,2026-05-11T09:30:00Z,2026-05-11T09:30:00Z,active,2026-05-11 05:15:04,2026-05-11 05:30:01,60,kalshi_api
KXBTC15M-26MAY110545-45,yes,finalized,2026-05-11T09:45:15.849651Z,2026-05-11T09:45:00Z,2026-05-11T09:45:00Z,active,2026-05-11 05:30:04,2026-05-11 05:45:18,61,kalshi_api
KXBTC15M-26MAY110600-00,yes,finalized,2026-05-11T10:00:15.85031Z,2026-05-11T10:00:00Z,2026-05-11T10:00:00Z,active,2026-05-11 05:45:19,2026-05-11 06:00:04,59,kalshi_api
KXBTC15M-26MAY110615-15,yes,finalized,2026-05-11T10:15:15.8491Z,2026-05-11T10:15:00Z,2026-05-11T10:15:00Z,active,2026-05-11 06:00:19,2026-05-11 06:15:06,60,kalshi_api
KXBTC15M-26MAY110630-30,yes,finalized,2026-05-11T10:30:15.853213Z,2026-05-11T10:30:00Z,2026-05-11T10:30:00Z,active,2026-05-11 06:15:19,2026-05-11 06:30:07,60,kalshi_api
KXBTC15M-26MAY110645-45,no,finalized,2026-05-11T10:45:15.844336Z,2026-05-11T10:45:00Z,2026-05-11T10:45:00Z,active,2026-05-11 06:30:19,2026-05-11 06:45:09,60,kalshi_api
KXBTC15M-26MAY110700-00,no,finalized,2026-05-11T11:00:15.847226Z,2026-05-11T11:00:00Z,2026-05-11T11:00:00Z,active,2026-05-11 06:45:19,2026-05-11 07:00:10,60,kalshi_api
KXBTC15M-26MAY110715-15,yes,finalized,2026-05-11T11:15:15.847076Z,2026-05-11T11:15:00Z,2026-05-11T11:15:00Z,active,2026-05-11 07:00:19,2026-05-11 07:15:11,60,kalshi_api
KXBTC15M-26MAY110730-30,yes,finalized,2026-05-11T11:30:15.84987Z,2026-05-11T11:30:00Z,2026-05-11T11:30:00Z,closed,2026-05-11 07:15:19,2026-05-11 07:30:28,61,kalshi_api
KXBTC15M-26MAY110745-45,yes,finalized,2026-05-11T11:45:15.847799Z,2026-05-11T11:45:00Z,2026-05-11T11:45:00Z,active,2026-05-11 07:30:34,2026-05-11 07:45:29,60,kalshi_api
KXBTC15M-26MAY110800-00,yes,finalized,2026-05-11T12:00:15.846637Z,2026-05-11T12:00:00Z,2026-05-11T12:00:00Z,active,2026-05-11 07:45:34,2026-05-11 08:00:32,60,kalshi_api
KXBTC15M-26MAY110815-15,no,finalized,2026-05-11T12:15:15.849496Z,2026-05-11T12:15:00Z,2026-05-11T12:15:00Z,active,2026-05-11 08:00:33,2026-05-11 08:15:33,60,kalshi_api
KXBTC15M-26MAY110830-30,yes,finalized,2026-05-11T12:30:15.849318Z,2026-05-11T12:30:00Z,2026-05-11T12:30:00Z,active,2026-05-11 08:15:35,2026-05-11 08:30:20,59,kalshi_api
KXBTC15M-26MAY110845-45,no,finalized,2026-05-11T12:45:15.854308Z,2026-05-11T12:45:00Z,2026-05-11T12:45:00Z,active,2026-05-11 08:30:33,2026-05-11 08:45:22,60,kalshi_api
KXBTC15M-26MAY110900-00,no,finalized,2026-05-11T13:00:15.849847Z,2026-05-11T13:00:00Z,2026-05-11T13:00:00Z,active,2026-05-11 08:45:34,2026-05-11 09:00:23,60,kalshi_api
KXBTC15M-26MAY110915-15,yes,finalized,2026-05-11T13:15:15.851522Z,2026-05-11T13:15:00Z,2026-05-11T13:15:00Z,active,2026-05-11 09:00:34,2026-05-11 09:14:55,58,kalshi_api
KXBTC15M-26MAY110930-30,no,finalized,2026-05-11T13:30:15.850982Z,2026-05-11T13:30:00Z,2026-05-11T13:30:00Z,active,2026-05-11 09:15:04,2026-05-11 09:30:12,61,kalshi_api
KXBTC15M-26MAY110945-45,no,finalized,2026-05-11T13:45:15.855124Z,2026-05-11T13:45:00Z,2026-05-11T13:45:00Z,active,2026-05-11 09:30:19,2026-05-11 09:45:14,60,kalshi_api
KXBTC15M-26MAY111000-00,no,finalized,2026-05-11T14:00:15.852266Z,2026-05-11T14:00:00Z,2026-05-11T14:00:00Z,active,2026-05-11 09:45:19,2026-05-11 10:00:16,60,kalshi_api
KXBTC15M-26MAY111015-15,yes,finalized,2026-05-11T14:15:15.855405Z,2026-05-11T14:15:00Z,2026-05-11T14:15:00Z,active,2026-05-11 10:00:19,2026-05-11 10:15:18,60,kalshi_api
KXBTC15M-26MAY111030-30,no,finalized,2026-05-11T14:30:15.849424Z,2026-05-11T14:30:00Z,2026-05-11T14:30:00Z,active,2026-05-11 10:15:19,2026-05-11 10:30:05,59,kalshi_api
KXBTC15M-26MAY111045-45,no,finalized,2026-05-11T14:45:15.85481Z,2026-05-11T14:45:00Z,2026-05-11T14:45:00Z,active,2026-05-11 10:30:19,2026-05-11 10:45:07,60,kalshi_api
KXBTC15M-26MAY111100-00,yes,finalized,2026-05-11T15:00:15.855852Z,2026-05-11T15:00:00Z,2026-05-11T15:00:00Z,active,2026-05-11 10:45:18,2026-05-11 11:00:13,60,kalshi_api
KXBTC15M-26MAY111115-15,yes,finalized,2026-05-11T15:15:15.854733Z,2026-05-11T15:15:00Z,2026-05-11T15:15:00Z,active,2026-05-11 11:00:19,2026-05-11 11:15:14,60,kalshi_api
KXBTC15M-26MAY111130-30,yes,finalized,2026-05-11T15:30:15.850388Z,2026-05-11T15:30:00Z,2026-05-11T15:30:00Z,active,2026-05-11 11:15:19,2026-05-11 11:30:19,60,kalshi_api
KXBTC15M-26MAY111145-45,no,finalized,2026-05-11T15:45:15.853053Z,2026-05-11T15:45:00Z,2026-05-11T15:45:00Z,active,2026-05-11 11:30:19,2026-05-11 11:45:07,59,kalshi_api
KXBTC15M-26MAY111200-00,yes,finalized,2026-05-11T16:00:15.853378Z,2026-05-11T16:00:00Z,2026-05-11T16:00:00Z,active,2026-05-11 11:45:18,2026-05-11 12:00:09,60,kalshi_api
KXBTC15M-26MAY111215-15,yes,finalized,2026-05-11T16:15:15.849941Z,2026-05-11T16:15:00Z,2026-05-11T16:15:00Z,active,2026-05-11 12:00:19,2026-05-11 12:15:11,60,kalshi_api
KXBTC15M-26MAY111230-30,yes,finalized,2026-05-11T16:30:15.857568Z,2026-05-11T16:30:00Z,2026-05-11T16:30:00Z,closed,2026-05-11 12:15:19,2026-05-11 12:30:27,61,kalshi_api
KXBTC15M-26MAY111245-45,no,finalized,2026-05-11T16:45:15.856734Z,2026-05-11T16:45:00Z,2026-05-11T16:45:00Z,active,2026-05-11 12:30:33,2026-05-11 12:45:29,60,kalshi_api
KXBTC15M-26MAY111300-00,no,finalized,2026-05-11T17:00:15.858006Z,2026-05-11T17:00:00Z,2026-05-11T17:00:00Z,active,2026-05-11 12:45:34,2026-05-11 13:00:33,60,kalshi_api
