market,result,status,settlement_ts,close_time,watch_close_time,watch_status,first_seen_ts,last_seen_ts,heartbeat_count,source
KXBTC15M-26MAY101400-00,yes,finalized,2026-05-10T18:00:16.25771Z,2026-05-10T18:00:00Z,2026-05-10T18:00:00Z,active,2026-05-10 13:47:03,2026-05-10 14:00:08,53,kalshi_api
KXBTC15M-26MAY101415-15,no,finalized,2026-05-10T18:15:15.906203Z,2026-05-10T18:15:00Z,2026-05-10T18:15:00Z,active,2026-05-10 14:00:18,2026-05-10 14:15:09,60,kalshi_api
KXBTC15M-26MAY101430-30,no,finalized,2026-05-10T18:30:15.855591Z,2026-05-10T18:30:00Z,2026-05-10T18:30:00Z,active,2026-05-10 14:15:18,2026-05-10 14:30:13,60,kalshi_api
KXBTC15M-26MAY101445-45,no,finalized,2026-05-10T18:45:15.953654Z,2026-05-10T18:45:00Z,2026-05-10T18:45:00Z,active,2026-05-10 14:30:18,2026-05-10 14:45:03,55,kalshi_api
KXBTC15M-26MAY101500-00,yes,finalized,2026-05-10T19:00:15.95161Z,2026-05-10T19:00:00Z,2026-05-10T19:00:00Z,active,2026-05-10 14:45:18,2026-05-10 15:00:05,60,kalshi_api
KXBTC15M-26MAY101515-15,yes,finalized,2026-05-10T19:15:15.903518Z,2026-05-10T19:15:00Z,2026-05-10T19:15:00Z,active,2026-05-10 15:00:19,2026-05-10 15:15:22,61,kalshi_api
KXBTC15M-26MAY101530-30,yes,finalized,2026-05-10T19:30:16.048393Z,2026-05-10T19:30:00Z,2026-05-10T19:30:00Z,active,2026-05-10 15:15:34,2026-05-10 15:30:32,60,kalshi_api
KXBTC15M-26MAY101545-45,no,finalized,2026-05-10T19:45:15.901768Z,2026-05-10T19:45:00Z,2026-05-10T19:45:00Z,closed,2026-05-10 15:30:34,2026-05-10 15:45:19,59,kalshi_api
KXBTC15M-26MAY101600-00,no,finalized,2026-05-10T20:00:15.905585Z,2026-05-10T20:00:00Z,2026-05-10T20:00:00Z,active,2026-05-10 15:45:34,2026-05-10 16:00:21,60,kalshi_api
KXBTC15M-26MAY101615-15,no,finalized,2026-05-10T20:15:15.853792Z,2026-05-10T20:15:00Z,2026-05-10T20:15:00Z,active,2026-05-10 16:00:34,2026-05-10 16:14:50,57,kalshi_api
KXBTC15M-26MAY101630-30,no,finalized,2026-05-10T20:30:15.901909Z,2026-05-10T20:30:00Z,2026-05-10T20:30:00Z,active,2026-05-10 16:15:04,2026-05-10 16:30:07,61,kalshi_api
KXBTC15M-26MAY101645-45,no,finalized,2026-05-10T20:45:16.054001Z,2026-05-10T20:45:00Z,2026-05-10T20:45:00Z,closed,2026-05-10 16:30:19,2026-05-10 16:45:08,59,kalshi_api
KXBTC15M-26MAY101700-00,no,finalized,2026-05-10T21:00:16.002771Z,2026-05-10T21:00:00Z,2026-05-10T21:00:00Z,closed,2026-05-10 16:45:19,2026-05-10 17:00:08,59,kalshi_api
KXBTC15M-26MAY101715-15,no,finalized,2026-05-10T21:15:15.952919Z,2026-05-10T21:15:00Z,2026-05-10T21:15:00Z,active,2026-05-10 17:00:19,2026-05-10 18:02:18,27,kalshi_api
KXBTC15M-26MAY101815-15,yes,finalized,2026-05-10T22:15:15.951689Z,2026-05-10T22:15:00Z,2026-05-10T22:15:00Z,closed,2026-05-10 18:02:20,2026-05-10 18:15:25,52,kalshi_api
KXBTC15M-26MAY101830-30,yes,finalized,2026-05-10T22:30:15.908063Z,2026-05-10T22:30:00Z,2026-05-10T22:30:00Z,active,2026-05-10 18:15:34,2026-05-10 18:30:23,59,kalshi_api
KXBTC15M-26MAY101845-45,yes,finalized,2026-05-10T22:45:16.00328Z,2026-05-10T22:45:00Z,2026-05-10T22:45:00Z,closed,2026-05-10 18:30:35,2026-05-10 18:45:34,60,kalshi_api
KXBTC15M-26MAY101900-00,yes,finalized,2026-05-10T23:00:15.905959Z,2026-05-10T23:00:00Z,2026-05-10T23:00:00Z,active,2026-05-10 18:45:34,2026-05-10 19:00:20,59,kalshi_api
KXBTC15M-26MAY101915-15,,active,,2026-05-10T23:15:00Z,2026-05-10T23:15:00Z,active,2026-05-10 19:00:34,2026-05-10 19:07:46,28,kalshi_api
