entry_ts,market,side,qty,entry_trigger_cents,entry_fill_cents_assumed,entry_fill_cents_actual,entry_fill_cents_used,entry_fee_cents,total_fees_dollars,entry_notional_dollars,exit_ts,exit_trigger_cents,exit_fill_cents_assumed,exit_fill_cents_actual,exit_fill_cents_used,exit_fee_cents,exit_notional_dollars,outcome,resolution_source,result,gross_pnl_dollars,net_pnl_dollars,net_pnl_percent,gross_pnl_percent,market_status,market_result,settlement_ts
2026-05-10 13:47:39,KXBTC15M-26MAY101400-00,yes,3.0,76,78,78.3333,78.3333,4.0,0.09,2.35,2026-05-10 13:49:47,71,71.0,71.3333,71.3333,5.0,2.14,exited_before_settlement,bot_exit_signal,,-0.21,-0.3,-12.766,-8.9362,,,
2026-05-10 13:51:00,KXBTC15M-26MAY101400-00,yes,3.0,85,85,85.0,85.0,3.0,0.033,2.55,2026-05-10 13:57:36,99,99.0,99.1,99.1,0.3,2.973,exited_before_settlement,bot_exit_signal,,0.423,0.39,15.2941,16.5882,,,
2026-05-10 14:07:36,KXBTC15M-26MAY101415-15,no,3.0,76,77,77.3333,77.3333,5.0,0.08,2.32,2026-05-10 14:08:57,90,89.0,89.3333,89.3333,3.0,2.68,exited_before_settlement,bot_exit_signal,,0.36,0.28,12.069,15.5172,,,
2026-05-10 14:10:04,KXBTC15M-26MAY101415-15,yes,3.0,10,10,8.7403,8.7403,3.35,0.0635,0.3365,2026-05-10 14:10:34,11,11.0,11.0,11.0,3.0,0.33,exited_before_settlement,bot_exit_signal,,-0.0065,-0.07,-20.8024,-1.9316,,,
2026-05-10 14:18:45,KXBTC15M-26MAY101430-30,no,3.0,80,80,80.0,80.0,5.0,0.1,2.4,2026-05-10 14:21:10,75,75.0,75.0,75.0,5.0,2.25,exited_before_settlement,bot_exit_signal,,-0.15,-0.25,-10.4167,-6.25,,,
2026-05-10 14:21:27,KXBTC15M-26MAY101430-30,no,2.0,72,72.0,72.0,72.0,3.0,0.07,1.44,2026-05-10 14:21:57,62,62.0,62.0,62.0,4.0,1.24,exited_before_settlement,bot_exit_signal,,-0.2,-0.27,-18.75,-13.8889,,,
2026-05-10 14:23:24,KXBTC15M-26MAY101430-30,no,3.0,85,85,84.0,84.0,2.0,0.07,1.68,2026-05-10 14:25:08,75,75.0,75.0,75.0,5.0,2.25,exited_before_settlement,bot_exit_signal,,0.57,0.5,29.7619,33.9286,,,
2026-05-10 14:25:23,KXBTC15M-26MAY101430-30,no,2.0,78,78.0,78.0,78.0,3.0,0.05,1.56,2026-05-10 14:25:57,87,87.0,87.0,87.0,2.0,1.74,exited_before_settlement,bot_exit_signal,,0.18,0.13,8.3333,11.5385,,,
2026-05-10 14:26:07,KXBTC15M-26MAY101430-30,no,3.0,83,83,83.0,83.0,3.0,0.06,2.49,2026-05-10 14:27:07,89,89.0,89.0,89.0,3.0,2.67,exited_before_settlement,bot_exit_signal,,0.18,0.12,4.8193,7.2289,,,
2026-05-10 14:27:08,KXBTC15M-26MAY101430-30,yes,3.0,11,11,11.0,11.0,3.0,0.04,0.33,2026-05-10 14:27:38,1,1.0,1.0,1.0,1.0,0.03,exited_before_settlement,bot_exit_signal,,-0.3,-0.34,-103.0303,-90.9091,,,
2026-05-10 14:36:54,KXBTC15M-26MAY101445-45,no,3.0,60,60,60.0,60.0,6.0,0.12,1.8,2026-05-10 14:37:25,60,60.0,60.0,60.0,6.0,1.8,exited_before_settlement,bot_exit_signal,,0.0,-0.12,-6.6667,0.0,,,
2026-05-10 14:37:29,KXBTC15M-26MAY101445-45,no,3.0,67,67,67.0,67.0,6.0,0.12,2.01,2026-05-10 14:38:00,66,66.0,66.0,66.0,6.0,1.98,exited_before_settlement,bot_exit_signal,,-0.03,-0.15,-7.4627,-1.4925,,,
2026-05-10 14:38:02,KXBTC15M-26MAY101445-45,no,3.0,67,67,67.0,67.0,6.0,0.11,2.01,2026-05-10 14:38:32,62,62.0,62.0,62.0,5.0,1.86,exited_before_settlement,bot_exit_signal,,-0.15,-0.26,-12.9353,-7.4627,,,
2026-05-10 14:39:12,KXBTC15M-26MAY101445-45,yes,3.0,14,14,14.0,14.0,3.0,0.06,0.42,2026-05-10 14:39:43,11,11.0,12.0,12.0,3.0,0.36,exited_before_settlement,bot_exit_signal,,-0.06,-0.12,-28.5714,-14.2857,,,
2026-05-10 14:39:52,KXBTC15M-26MAY101445-45,no,3.0,84,84,84.0,84.0,3.0,0.046,2.52,2026-05-10 14:40:56,94,94.0,94.2,94.2,1.6,2.826,exited_before_settlement,bot_exit_signal,,0.306,0.26,10.3175,12.1429,,,
2026-05-10 14:41:08,KXBTC15M-26MAY101445-45,yes,2.0,5,5.0,4.8,4.8,1.4,0.024,0.096,2026-05-10 14:41:41,5,5.0,5.0,5.0,1.0,0.1,exited_before_settlement,bot_exit_signal,,0.004,-0.02,-20.8333,4.1667,,,
2026-05-10 14:51:57,KXBTC15M-26MAY101500-00,no,3.0,70,70,70.0,70.0,6.0,0.12,2.1,2026-05-10 14:52:28,46,46.0,47.0,47.0,6.0,1.41,exited_before_settlement,bot_exit_signal,,-0.69,-0.81,-38.5714,-32.8571,,,
2026-05-10 15:01:03,KXBTC15M-26MAY101515-15,no,3.0,78,78,78.0,78.0,5.0,0.09,2.34,2026-05-10 15:05:24,80,80.0,80.0,80.0,4.0,2.4,exited_before_settlement,bot_exit_signal,,0.06,-0.03,-1.2821,2.5641,,,
2026-05-10 15:06:11,KXBTC15M-26MAY101515-15,no,3.0,78,80,77.0,77.0,3.0,0.07,1.54,2026-05-10 15:07:14,81,81.0,81.0,81.0,4.0,2.43,exited_before_settlement,bot_exit_signal,,0.89,0.82,53.2468,57.7922,,,
2026-05-10 15:10:04,KXBTC15M-26MAY101515-15,yes,3.0,75,75,75.0,75.0,5.0,0.06,2.25,2026-05-10 15:11:06,96,96.0,96.0,96.0,1.0,2.88,exited_before_settlement,bot_exit_signal,,0.63,0.57,25.3333,28.0,,,
2026-05-10 15:16:15,KXBTC15M-26MAY101530-30,yes,3.0,76,76,76.0,76.0,5.0,0.1,2.28,2026-05-10 15:17:09,75,75.0,75.0,75.0,5.0,2.25,exited_before_settlement,bot_exit_signal,,-0.03,-0.13,-5.7018,-1.3158,,,
2026-05-10 15:17:30,KXBTC15M-26MAY101530-30,yes,3.0,77,77,77.0,77.0,5.0,0.08,2.31,2026-05-10 15:20:59,86,86.0,86.0,86.0,3.0,2.58,exited_before_settlement,bot_exit_signal,,0.27,0.19,8.2251,11.6883,,,
2026-05-10 15:38:44,KXBTC15M-26MAY101545-45,yes,3.0,8,8,8.0,8.0,3.0,0.046,0.24,2026-05-10 15:39:15,4,4.0,4.2,4.2,1.6,0.126,exited_before_settlement,bot_exit_signal,,-0.114,-0.16,-66.6667,-47.5,,,
2026-05-10 15:41:06,KXBTC15M-26MAY101545-45,yes,3.0,9,9,8.8667,8.8667,2.4,0.043,0.266,2026-05-10 15:41:52,7,7.0,7.3,7.3,1.9,0.219,exited_before_settlement,bot_exit_signal,,-0.047,-0.09,-33.8346,-17.6692,,,
2026-05-10 15:41:52,KXBTC15M-26MAY101545-45,yes,3.0,8,8,7.2667,7.2667,2.2,0.035,0.218,2026-05-10 15:42:29,4,4.0,4.1,4.1,1.3,0.123,exited_before_settlement,bot_exit_signal,,-0.095,-0.13,-59.633,-43.578,,,
2026-05-10 15:42:30,KXBTC15M-26MAY101545-45,yes,3.0,6,6,5.8,5.8,2.6,0.026,0.174,,,,,,0,,loss,kalshi_api,no,-0.174,-0.2,-114.9425,-100.0,finalized,no,2026-05-10T19:45:15.901768Z
2026-05-10 15:50:42,KXBTC15M-26MAY101600-00,no,3.0,79,79,79.0,79.0,5.0,0.08,2.37,2026-05-10 15:51:33,89,89.0,89.0,89.0,3.0,2.67,exited_before_settlement,bot_exit_signal,,0.3,0.22,9.2827,12.6582,,,
2026-05-10 15:51:37,KXBTC15M-26MAY101600-00,no,3.0,85,85,85.0,85.0,3.0,0.04,2.55,2026-05-10 15:54:04,97,97.0,97.0,97.0,1.0,2.91,exited_before_settlement,bot_exit_signal,,0.36,0.32,12.549,14.1176,,,
2026-05-10 15:56:07,KXBTC15M-26MAY101600-00,yes,3.0,13,13,13.0,13.0,3.0,0.056,0.39,2026-05-10 15:56:37,9,9.0,9.2,9.2,2.6,0.276,exited_before_settlement,bot_exit_signal,,-0.114,-0.17,-43.5897,-29.2308,,,
2026-05-10 15:57:07,KXBTC15M-26MAY101600-00,yes,2.0,5,5.0,4.8,4.8,1.4,0.034,0.096,2026-05-10 15:57:37,7,7.0,10.0,10.0,2.0,0.2,exited_before_settlement,bot_exit_signal,,0.104,0.07,72.9167,108.3333,,,
2026-05-10 16:17:41,KXBTC15M-26MAY101630-30,no,3.0,79,79,79.0,79.0,5.0,0.1,2.37,2026-05-10 16:20:42,64,64.0,64.0,64.0,5.0,1.92,exited_before_settlement,bot_exit_signal,,-0.45,-0.55,-23.2068,-18.9873,,,
2026-05-10 16:21:52,KXBTC15M-26MAY101630-30,no,3.0,74,74,74.0,74.0,5.0,0.062,2.22,2026-05-10 16:27:33,97,97.0,97.4,97.4,1.2,2.922,exited_before_settlement,bot_exit_signal,,0.702,0.64,28.8288,31.6216,,,
2026-05-10 16:31:24,KXBTC15M-26MAY101645-45,no,3.0,74,74,74.0,74.0,5.0,0.1,2.22,2026-05-10 16:32:06,70,70.0,70.0,70.0,5.0,2.1,exited_before_settlement,bot_exit_signal,,-0.12,-0.22,-9.9099,-5.4054,,,
2026-05-10 16:32:38,KXBTC15M-26MAY101645-45,no,3.0,78,78,77.0,77.0,5.0,0.1,2.31,2026-05-10 16:37:35,70,70.0,70.0,70.0,5.0,2.1,exited_before_settlement,bot_exit_signal,,-0.21,-0.31,-13.4199,-9.0909,,,
2026-05-10 16:37:43,KXBTC15M-26MAY101645-45,no,3.0,68,70,69.6667,69.6667,6.0,0.11,2.09,2026-05-10 16:39:08,76,76.0,76.0,76.0,5.0,2.28,exited_before_settlement,bot_exit_signal,,0.19,0.08,3.8278,9.0909,,,
2026-05-10 16:39:11,KXBTC15M-26MAY101645-45,no,3.0,80,80,80.0,80.0,5.0,0.06,2.4,2026-05-10 16:42:04,99,99.0,99.0,99.0,1.0,1.98,exited_before_settlement,bot_exit_signal,,-0.42,-0.48,-20.0,-17.5,,,
2026-05-10 16:45:53,KXBTC15M-26MAY101700-00,no,3.0,75,75,75.3333,75.3333,5.0,0.05,2.26,,,,,,0,,win,kalshi_api,no,0.74,0.69,30.531,32.7434,finalized,no,2026-05-10T21:00:16.002771Z
2026-05-10 17:02:20,KXBTC15M-26MAY101715-15,yes,3.0,75,75,75.0,75.0,5.0,0.1,2.25,2026-05-10 17:04:33,75,75.0,75.0,75.0,5.0,2.25,exited_before_settlement,bot_exit_signal,,0.0,-0.1,-4.4444,0.0,,,
2026-05-10 17:06:06,KXBTC15M-26MAY101715-15,yes,2.0,85,85.0,85.0,85.0,2.0,0.05,1.7,2026-05-10 17:06:37,80,80.0,80.0,80.0,3.0,1.6,exited_before_settlement,bot_exit_signal,,-0.1,-0.15,-8.8235,-5.8824,,,
2026-05-10 18:03:08,KXBTC15M-26MAY101815-15,yes,3.0,81,80,79.0,79.0,5.0,0.05,2.37,,,,,,0,,win,kalshi_api,yes,0.63,0.58,24.4726,26.5823,finalized,yes,2026-05-10T22:15:15.951689Z
2026-05-10 18:26:43,KXBTC15M-26MAY101830-30,no,3.0,14,14,13.3333,13.3333,3.0,0.042,0.4,2026-05-10 18:27:29,1,1.0,1.4,1.4,1.2,0.042,exited_before_settlement,bot_exit_signal,,-0.358,-0.4,-100.0,-89.5,,,
2026-05-10 18:32:18,KXBTC15M-26MAY101845-45,yes,3.0,76,76,76.0,76.0,5.0,0.1,2.28,2026-05-10 18:33:17,76,76.0,76.0,76.0,5.0,2.28,exited_before_settlement,bot_exit_signal,,0.0,-0.1,-4.386,0.0,,,
2026-05-10 18:33:19,KXBTC15M-26MAY101845-45,yes,3.0,78,78,78.0,78.0,5.0,0.05,2.34,,,,,,0,,win,kalshi_api,yes,0.66,0.61,26.0684,28.2051,finalized,yes,2026-05-10T22:45:16.00328Z
2026-05-10 19:00:47,KXBTC15M-26MAY101915-15,yes,3.0,73,73,73.0,73.0,5.0,0.1,2.19,2026-05-10 19:01:18,69,69.0,69.0,69.0,5.0,2.07,exited_before_settlement,bot_exit_signal,,-0.12,-0.22,-10.0457,-5.4795,,,
2026-05-10 19:01:37,KXBTC15M-26MAY101915-15,yes,3.0,72,72,72.0,72.0,5.0,0.05,2.16,,,,,,0,,open,kalshi_api,,,,,,active,,
