entry_ts,market,side,qty,entry_trigger_cents,entry_fill_event_ts_list,entry_fill_cents_assumed,entry_fill_cents_actual,entry_fill_cents_used,entry_accounting_source,entry_fee_cents,entry_notional_dollars,entry_exchange_qty,entry_exchange_fill_ids,entry_api_fill_ids,exit_ts,exit_trigger_cents,exit_fill_event_ts_list,exit_fill_cents_assumed,exit_fill_cents_actual,exit_fill_cents_used,exit_accounting_source,exit_fee_cents,exit_notional_dollars,exit_exchange_qty,exit_exchange_fill_ids,exit_api_fill_ids,total_fees_dollars,outcome,resolution_source,accounting_source,result,gross_pnl_dollars,net_pnl_dollars,net_pnl_percent,gross_pnl_percent,market_status,market_result,settlement_ts
2026-05-10 13:47:39,KXBTC15M-26MAY101400-00,yes,3.0,76,2026-05-10 13:47:39|2026-05-10 13:48:01,78,78.3333,78.3333,kalshi_api,4.0,2.35,3.0,51211fd8-e0f8-625f-2eaf-377efa37d6fd|6c399574-cc9a-677d-d7f1-cab4243ea20e,51211fd8-e0f8-625f-2eaf-377efa37d6fd|6c399574-cc9a-677d-d7f1-cab4243ea20e,2026-05-10 13:49:47,71,2026-05-10 13:49:47,71.0,71.3333,71.3333,kalshi_api,5.0,2.14,3.0,fd0418ab-ece3-52c4-925b-acd87d56f29c|6d91081a-1090-5066-63c7-ca03e3405aca,fd0418ab-ece3-52c4-925b-acd87d56f29c|6d91081a-1090-5066-63c7-ca03e3405aca,0.09,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.21,-0.3,-12.766,-8.9362,,,
2026-05-10 13:51:00,KXBTC15M-26MAY101400-00,yes,3.0,85,2026-05-10 13:51:00,85,85.0,85.0,kalshi_api,3.0,2.55,3.0,ce266720-00b1-652d-99f8-50aa8eab760c|6f69b1e2-177d-7e8d-9a7e-c5591f35e424,ce266720-00b1-652d-99f8-50aa8eab760c|6f69b1e2-177d-7e8d-9a7e-c5591f35e424,2026-05-10 13:57:36,99,2026-05-10 13:57:36,99.0,99.1,99.1,kalshi_api,0.3,2.973,3.0,bc24b4c3-1cf5-73d6-c957-17d6fffca3b0,bc24b4c3-1cf5-73d6-c957-17d6fffca3b0,0.033,exited_before_settlement,bot_exit_signal,kalshi_api,,0.423,0.39,15.2941,16.5882,,,
2026-05-10 14:07:36,KXBTC15M-26MAY101415-15,no,3.0,76,2026-05-10 14:07:36|2026-05-10 14:07:54,77,77.3333,77.3333,kalshi_api,5.0,2.32,3.0,e2b6b16e-b010-4580-38db-580a06a4a6d8|ef93f498-0559-5b88-84c1-6f9d9563ba85,e2b6b16e-b010-4580-38db-580a06a4a6d8|ef93f498-0559-5b88-84c1-6f9d9563ba85,2026-05-10 14:08:57,90,2026-05-10 14:08:57,89.0,89.3333,89.3333,kalshi_api,3.0,2.68,3.0,fa422f67-a80d-635f-a78e-8d11cd757132|1d7296b1-8b8a-6cc7-83d5-d788f0fea1b8,fa422f67-a80d-635f-a78e-8d11cd757132|1d7296b1-8b8a-6cc7-83d5-d788f0fea1b8,0.08,exited_before_settlement,bot_exit_signal,kalshi_api,,0.36,0.28,12.069,15.5172,,,
2026-05-10 14:10:04,KXBTC15M-26MAY101415-15,yes,3.0,10,2026-05-10 14:10:04,10,8.7403,8.7403,kalshi_api,3.35,0.3365,3.85,718bdbdf-7343-53d5-7d05-85384e2b3b3d|25bb1bac-a8f3-4484-411f-7d4e9a18e38f|9e06feb5-de61-405d-9a68-3f037eb9fd2b,718bdbdf-7343-53d5-7d05-85384e2b3b3d|25bb1bac-a8f3-4484-411f-7d4e9a18e38f|9e06feb5-de61-405d-9a68-3f037eb9fd2b,2026-05-10 14:10:34,11,2026-05-10 14:10:34,11.0,11.0,11.0,kalshi_api,3.0,0.33,3.0,c03cf556-3c08-4f8e-eeaf-9e33e3ca29a1,c03cf556-3c08-4f8e-eeaf-9e33e3ca29a1,0.0635,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.0065,-0.07,-20.8024,-1.9316,,,
2026-05-10 14:18:45,KXBTC15M-26MAY101430-30,no,3.0,80,2026-05-10 14:18:45,80,80.0,80.0,kalshi_api,5.0,2.4,3.0,254a4962-d8b4-76f5-e623-faa9ca00885f|3a12143b-1868-6cad-e718-163941ecf32b,254a4962-d8b4-76f5-e623-faa9ca00885f|3a12143b-1868-6cad-e718-163941ecf32b,2026-05-10 14:21:10,75,2026-05-10 14:21:10,75.0,75.0,75.0,kalshi_api,5.0,2.25,3.0,8f51bd2e-fbc0-602f-f332-fc5fa9da85ba|0d8dfaa8-b76c-436b-6e48-3c65eb73721a,8f51bd2e-fbc0-602f-f332-fc5fa9da85ba|0d8dfaa8-b76c-436b-6e48-3c65eb73721a,0.1,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.15,-0.25,-10.4167,-6.25,,,
2026-05-10 14:21:27,KXBTC15M-26MAY101430-30,no,2.0,72,2026-05-10 14:21:27,72.0,72.0,72.0,kalshi_api,3.0,1.44,2.0,930add24-edeb-75fc-fcd8-8479cbb7af15,930add24-edeb-75fc-fcd8-8479cbb7af15,2026-05-10 14:21:57,62,2026-05-10 14:21:57,62.0,62.0,62.0,kalshi_api,4.0,1.24,2.0,686de09b-7fb3-4caa-646f-31d6d72c5e72,686de09b-7fb3-4caa-646f-31d6d72c5e72,0.07,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.2,-0.27,-18.75,-13.8889,,,
2026-05-10 14:23:24,KXBTC15M-26MAY101430-30,no,3.0,85,2026-05-10 14:23:24|2026-05-10 14:24:37,85,84.0,84.0,kalshi_api,3.0,2.52,3.0,777bb46b-3359-661d-5a75-51549cc7a906|789381d2-1ae6-6953-cac0-ce6423a891c1,777bb46b-3359-661d-5a75-51549cc7a906|789381d2-1ae6-6953-cac0-ce6423a891c1,2026-05-10 14:25:08,75,2026-05-10 14:25:08,75.0,75.0,75.0,kalshi_api,5.0,2.25,3.0,c981e2d8-3712-458b-9e36-a4025994a85f|304d134a-38e6-748b-e1bf-7b65a82b9a6b,c981e2d8-3712-458b-9e36-a4025994a85f|304d134a-38e6-748b-e1bf-7b65a82b9a6b,0.08,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.27,-0.35,-13.8889,-10.7143,,,
2026-05-10 14:25:23,KXBTC15M-26MAY101430-30,no,2.0,78,2026-05-10 14:25:23,78.0,78.0,78.0,kalshi_api,3.0,1.56,2.0,e37a24fa-6adb-7729-3fa2-9ad68552da85,e37a24fa-6adb-7729-3fa2-9ad68552da85,2026-05-10 14:25:57,87,2026-05-10 14:25:57,87.0,87.0,87.0,kalshi_api,2.0,1.74,2.0,b6e70f91-eb0e-78bf-c0d1-b0cdac10365b,b6e70f91-eb0e-78bf-c0d1-b0cdac10365b,0.05,exited_before_settlement,bot_exit_signal,kalshi_api,,0.18,0.13,8.3333,11.5385,,,
2026-05-10 14:26:07,KXBTC15M-26MAY101430-30,no,3.0,83,2026-05-10 14:26:07|2026-05-10 14:26:08,83,83.0,83.0,kalshi_api,3.0,2.49,3.0,02d2e065-116e-70ec-8ebf-c377b39910ef|fdb9cd16-48aa-77ac-5cf8-12f1708eff57,02d2e065-116e-70ec-8ebf-c377b39910ef|fdb9cd16-48aa-77ac-5cf8-12f1708eff57,2026-05-10 14:27:07,89,2026-05-10 14:27:07,89.0,89.0,89.0,kalshi_api,3.0,2.67,3.0,c7b73091-a3d3-43c6-bdad-c0959756597c,c7b73091-a3d3-43c6-bdad-c0959756597c,0.06,exited_before_settlement,bot_exit_signal,kalshi_api,,0.18,0.12,4.8193,7.2289,,,
2026-05-10 14:27:08,KXBTC15M-26MAY101430-30,yes,3.0,11,2026-05-10 14:27:08,11,11.0,11.0,kalshi_api,3.0,0.33,3.0,9a889b1f-d0a7-6782-89b9-6f95e43d4144|78c2a980-c18f-5d8a-a1c8-0ea5e4ddab4c,9a889b1f-d0a7-6782-89b9-6f95e43d4144|78c2a980-c18f-5d8a-a1c8-0ea5e4ddab4c,2026-05-10 14:27:38,1,2026-05-10 14:27:38,1.0,1.0,1.0,kalshi_api,1.0,0.03,3.0,40a63a60-3c54-702c-8d45-e98ce67b2a21,40a63a60-3c54-702c-8d45-e98ce67b2a21,0.04,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.3,-0.34,-103.0303,-90.9091,,,
2026-05-10 14:36:54,KXBTC15M-26MAY101445-45,no,3.0,60,2026-05-10 14:36:54,60,60.0,60.0,kalshi_api,6.0,1.8,3.0,81beeedb-1655-7d84-dcce-72b4bbe35ddb|abc568a0-d96d-5084-6a26-7509c9fa011f,81beeedb-1655-7d84-dcce-72b4bbe35ddb|abc568a0-d96d-5084-6a26-7509c9fa011f,2026-05-10 14:37:25,60,2026-05-10 14:37:25,60.0,60.0,60.0,kalshi_api,6.0,1.8,3.0,0c38de7c-9ff5-771f-fa13-bf9bc6f55d83|dc640256-578d-6ddb-cf7b-cc353c6197eb,0c38de7c-9ff5-771f-fa13-bf9bc6f55d83|dc640256-578d-6ddb-cf7b-cc353c6197eb,0.12,exited_before_settlement,bot_exit_signal,kalshi_api,,0.0,-0.12,-6.6667,0.0,,,
2026-05-10 14:37:29,KXBTC15M-26MAY101445-45,no,3.0,67,2026-05-10 14:37:29|2026-05-10 14:37:30,67,67.0,67.0,kalshi_api,6.0,2.01,3.0,b0269187-1f83-5937-4549-92bcff5ae834|b65b2cae-fb05-6fd6-6623-2c448350dc12,b0269187-1f83-5937-4549-92bcff5ae834|b65b2cae-fb05-6fd6-6623-2c448350dc12,2026-05-10 14:38:00,66,2026-05-10 14:38:00,66.0,66.0,66.0,kalshi_api,6.0,1.98,3.0,3415e0d8-e8b4-4c26-ff33-d6b77f0c9a57|df81ae35-aa14-4ebe-a720-ca87654b4e03,3415e0d8-e8b4-4c26-ff33-d6b77f0c9a57|df81ae35-aa14-4ebe-a720-ca87654b4e03,0.12,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.03,-0.15,-7.4627,-1.4925,,,
2026-05-10 14:38:02,KXBTC15M-26MAY101445-45,no,3.0,67,2026-05-10 14:38:02,67,67.0,67.0,kalshi_api,6.0,2.01,3.0,51f57191-68f7-6317-6184-7c39246d2386|ec3853e7-8b98-683e-c307-40c5621f34ca,51f57191-68f7-6317-6184-7c39246d2386|ec3853e7-8b98-683e-c307-40c5621f34ca,2026-05-10 14:38:32,62,2026-05-10 14:38:32,62.0,62.0,62.0,kalshi_api,5.0,1.86,3.0,15396150-c20e-4a26-8ac7-e198e8a69ab7,15396150-c20e-4a26-8ac7-e198e8a69ab7,0.11,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.15,-0.26,-12.9353,-7.4627,,,
2026-05-10 14:39:12,KXBTC15M-26MAY101445-45,yes,3.0,14,2026-05-10 14:39:12,14,14.0,14.0,kalshi_api,3.0,0.42,3.0,c6f92ba0-f94b-4250-7aee-587993dc434f|2512d00c-747b-5878-14bb-578e5b1cd11f,c6f92ba0-f94b-4250-7aee-587993dc434f|2512d00c-747b-5878-14bb-578e5b1cd11f,2026-05-10 14:39:43,11,2026-05-10 14:39:43,11.0,12.0,12.0,kalshi_api,3.0,0.36,3.0,595b302a-4182-774e-c637-ca446f1db92e,595b302a-4182-774e-c637-ca446f1db92e,0.06,exited_before_settlement,bot_exit_signal,kalshi_api,,-0.06,-0.12,-28.5714,-14.2857,,,
2026-05-10 14:39:52,KXBTC15M-26MAY101445-45,no,3.0,84,2026-05-10 14:39:53,84,84.0,84.0,kalshi_api,3.0,2.52,3.0,10c838ba-ed49-76d5-4b88-47c410a5c0fe|8ba403f6-3539-5505-e3eb-9c7778393802,10c838ba-ed49-76d5-4b88-47c410a5c0fe|8ba403f6-3539-5505-e3eb-9c7778393802,2026-05-10 14:40:56,94,2026-05-10 14:40:56,94.0,94.2,94.2,kalshi_api,1.6,2.826,3.0,cfcda9f5-2680-5a13-da45-8c1b9be7a024,cfcda9f5-2680-5a13-da45-8c1b9be7a024,0.046,exited_before_settlement,bot_exit_signal,kalshi_api,,0.306,0.26,10.3175,12.1429,,,
