market,result,status,settlement_ts,close_time,watch_close_time,watch_status,first_seen_ts,last_seen_ts,heartbeat_count,source
KXBTC15M-26MAY071415-15,yes,finalized,2026-05-07T18:15:08.401118Z,2026-05-07T18:15:00Z,2026-05-07T18:15:00Z,active,2026-05-07 14:08:14,2026-05-07 14:15:14,29,kalshi_api
KXBTC15M-26MAY071430-30,yes,finalized,2026-05-07T18:30:08.404778Z,2026-05-07T18:30:00Z,2026-05-07T18:30:00Z,active,2026-05-07 14:15:15,2026-05-07 14:30:16,60,kalshi_api
KXBTC15M-26MAY071445-45,no,finalized,2026-05-07T18:45:08.39996Z,2026-05-07T18:45:00Z,2026-05-07T18:45:00Z,active,2026-05-07 14:30:30,2026-05-07 14:45:17,60,kalshi_api
KXBTC15M-26MAY071500-00,yes,finalized,2026-05-07T19:00:08.405619Z,2026-05-07T19:00:00Z,2026-05-07T19:00:00Z,active,2026-05-07 14:45:30,2026-05-07 15:00:18,60,kalshi_api
KXBTC15M-26MAY071515-15,no,finalized,2026-05-07T19:15:08.40286Z,2026-05-07T19:15:00Z,2026-05-07T19:15:00Z,active,2026-05-07 15:00:30,2026-05-07 15:15:05,59,kalshi_api
KXBTC15M-26MAY071530-30,no,finalized,2026-05-07T19:30:08.398756Z,2026-05-07T19:30:00Z,2026-05-07T19:30:00Z,active,2026-05-07 15:15:15,2026-05-07 15:30:06,60,kalshi_api
KXBTC15M-26MAY071545-45,yes,finalized,2026-05-07T19:45:08.398472Z,2026-05-07T19:45:00Z,2026-05-07T19:45:00Z,active,2026-05-07 15:30:15,2026-05-07 15:45:23,61,kalshi_api
KXBTC15M-26MAY071600-00,no,finalized,2026-05-07T20:00:08.405027Z,2026-05-07T20:00:00Z,2026-05-07T20:00:00Z,active,2026-05-07 15:45:30,2026-05-07 16:00:24,60,kalshi_api
KXBTC15M-26MAY071615-15,yes,finalized,2026-05-07T20:15:18.402664Z,2026-05-07T20:15:00Z,2026-05-07T20:15:00Z,active,2026-05-07 16:00:30,2026-05-07 16:15:26,60,kalshi_api
KXBTC15M-26MAY071630-30,yes,finalized,2026-05-07T20:30:08.450701Z,2026-05-07T20:30:00Z,2026-05-07T20:30:00Z,active,2026-05-07 16:15:30,2026-05-07 16:30:27,60,kalshi_api
KXBTC15M-26MAY071645-45,no,finalized,2026-05-07T20:45:08.40344Z,2026-05-07T20:45:00Z,2026-05-07T20:45:00Z,active,2026-05-07 16:30:30,2026-05-07 16:45:14,59,kalshi_api
KXBTC15M-26MAY071700-00,no,finalized,2026-05-07T21:00:08.401609Z,2026-05-07T21:00:00Z,2026-05-07T21:00:00Z,active,2026-05-07 16:45:15,2026-05-07 17:00:00,59,kalshi_api
KXBTC15M-26MAY071715-15,no,finalized,2026-05-07T21:15:08.403132Z,2026-05-07T21:15:00Z,2026-05-07T21:15:00Z,active,2026-05-07 17:00:15,2026-05-07 17:15:02,60,kalshi_api
KXBTC15M-26MAY071730-30,yes,finalized,2026-05-07T21:30:08.457976Z,2026-05-07T21:30:00Z,2026-05-07T21:30:00Z,active,2026-05-07 17:15:15,2026-05-07 17:30:18,61,kalshi_api
KXBTC15M-26MAY071745-45,no,finalized,2026-05-07T21:45:08.401202Z,2026-05-07T21:45:00Z,2026-05-07T21:45:00Z,active,2026-05-07 17:30:30,2026-05-07 17:45:20,60,kalshi_api
KXBTC15M-26MAY071800-00,no,finalized,2026-05-07T22:00:08.40295Z,2026-05-07T22:00:00Z,2026-05-07T22:00:00Z,active,2026-05-07 17:45:30,2026-05-07 17:52:50,30,kalshi_api
