entry_ts,market,side,qty,entry_trigger_cents,entry_fill_cents_assumed,entry_fill_cents_actual,entry_fill_cents_used,entry_fee_cents,total_fees_dollars,entry_notional_dollars,exit_ts,exit_trigger_cents,exit_fill_cents_assumed,exit_fill_cents_actual,exit_fill_cents_used,exit_fee_cents,exit_notional_dollars,outcome,resolution_source,result,gross_pnl_dollars,net_pnl_dollars,net_pnl_percent,gross_pnl_percent,market_status,market_result,settlement_ts
2026-05-09 13:20:30,KXBTC15M-26MAY091330-30,no,3,77,77,77.0,77.0,3.0,0.09,2.31,2026-05-09 13:21:12,54,54.0,54.0,54.0,6.0,1.62,exited_before_settlement,bot_exit_signal,,-0.69,-0.78,-33.7662,-29.8701,,,
2026-05-09 13:23:46,KXBTC15M-26MAY091330-30,yes,3,75,75,75.0,75.0,3.0,0.08,2.25,2026-05-09 13:24:17,70,70.0,70.0,70.0,5.0,2.1,exited_before_settlement,bot_exit_signal,,-0.15,-0.23,-10.2222,-6.6667,,,
2026-05-09 13:25:03,KXBTC15M-26MAY091330-30,yes,3,78,78,78.0,78.0,3.0,0.037,2.34,2026-05-09 13:27:52,99,98.0,98.7,98.7,0.7,2.961,exited_before_settlement,bot_exit_signal,,0.621,0.584,24.9573,26.5385,,,
2026-05-09 13:32:07,KXBTC15M-26MAY091345-45,yes,2,68,68,68.0,68.0,4.0,0.08,1.36,2026-05-09 13:32:37,58,58.0,58.0,58.0,4.0,1.16,exited_before_settlement,bot_exit_signal,,-0.2,-0.28,-20.5882,-14.7059,,,
2026-05-09 13:35:08,KXBTC15M-26MAY091345-45,yes,3,75,75,75.0,75.0,3.0,0.046,2.25,2026-05-09 13:41:24,95,95.0,95.2,95.2,1.6,2.856,exited_before_settlement,bot_exit_signal,,0.606,0.56,24.8889,26.9333,,,
2026-05-09 13:49:30,KXBTC15M-26MAY091400-00,no,3,74,74,74.0,74.0,1.0,0.04,2.22,2026-05-09 13:50:29,71,71.0,71.0,71.0,3.0,2.13,exited_before_settlement,bot_exit_signal,,-0.09,-0.13,-5.8559,-4.0541,,,
2026-05-09 13:51:37,KXBTC15M-26MAY091400-00,no,3,80,80,80.0,80.0,3.0,0.04,2.4,2026-05-09 13:57:04,99,99.0,99.0,99.0,1.0,2.97,exited_before_settlement,bot_exit_signal,,0.57,0.53,22.0833,23.75,,,
2026-05-09 14:01:19,KXBTC15M-26MAY091415-15,yes,3,73,73,73.0,73.0,3.0,0.06,2.19,2026-05-09 14:02:53,69,69.0,70.0,70.0,3.0,2.1,exited_before_settlement,bot_exit_signal,,-0.09,-0.15,-6.8493,-4.1096,,,
2026-05-09 14:03:08,KXBTC15M-26MAY091415-15,yes,2,72,72,72.0,72.0,3.0,0.07,1.44,2026-05-09 14:03:39,61,61.0,61.0,61.0,4.0,1.22,exited_before_settlement,bot_exit_signal,,-0.22,-0.29,-20.1389,-15.2778,,,
2026-05-09 14:04:39,KXBTC15M-26MAY091415-15,yes,3,80,80,80.0,80.0,3.0,0.08,2.4,2026-05-09 14:05:15,63,63.0,63.0,63.0,5.0,1.89,exited_before_settlement,bot_exit_signal,,-0.51,-0.59,-24.5833,-21.25,,,
2026-05-09 14:08:02,KXBTC15M-26MAY091415-15,yes,2,85,85,85.0,85.0,2.0,0.05,1.7,2026-05-09 14:08:32,81,81.0,81.0,81.0,3.0,1.62,exited_before_settlement,bot_exit_signal,,-0.08,-0.13,-7.6471,-4.7059,,,
2026-05-09 14:09:07,KXBTC15M-26MAY091415-15,yes,3,74,74,74.0,74.0,3.0,0.07,2.22,2026-05-09 14:09:37,81,81.0,81.0,81.0,4.0,2.43,exited_before_settlement,bot_exit_signal,,0.21,0.14,6.3063,9.4595,,,
2026-05-09 14:17:41,KXBTC15M-26MAY091430-30,yes,3,78,78,78.0,78.0,2.0,0.05,2.34,2026-05-09 14:19:33,72,72.0,72.0,72.0,3.0,2.16,exited_before_settlement,bot_exit_signal,,-0.18,-0.23,-9.8291,-7.6923,,,
2026-05-09 14:20:02,KXBTC15M-26MAY091430-30,yes,3,73,73,73.0,73.0,3.0,0.06,2.19,2026-05-09 14:20:33,74,74.0,74.0,74.0,3.0,2.22,exited_before_settlement,bot_exit_signal,,0.03,-0.03,-1.3699,1.3699,,,
2026-05-09 14:24:40,KXBTC15M-26MAY091430-30,no,2,9,9,7.1,7.1,1.8,0.028,0.142,2026-05-09 14:25:10,2,2.0,2.0,2.0,1.0,0.04,exited_before_settlement,bot_exit_signal,,-0.102,-0.13,-91.5493,-71.831,,,
2026-05-09 14:35:45,KXBTC15M-26MAY091445-45,no,3,81,81,81.0,81.0,3.0,0.06,2.43,2026-05-09 14:37:05,86,86.0,86.0,86.0,3.0,2.58,exited_before_settlement,bot_exit_signal,,0.15,0.09,3.7037,6.1728,,,
2026-05-09 14:37:08,KXBTC15M-26MAY091445-45,no,3,85,85,84.0,84.0,2.0,0.039,2.52,2026-05-09 14:38:06,91,91.0,91.3,91.3,1.9,2.739,exited_before_settlement,bot_exit_signal,,0.219,0.18,7.1429,8.6905,,,
2026-05-09 14:46:20,KXBTC15M-26MAY091500-00,no,3,73,73,73.0,73.0,3.0,0.08,2.19,2026-05-09 14:46:51,62,62.0,62.0,62.0,5.0,1.86,exited_before_settlement,bot_exit_signal,,-0.33,-0.41,-18.7215,-15.0685,,,
2026-05-09 14:58:00,KXBTC15M-26MAY091500-00,yes,2,13,13,13.0,13.0,2.0,0.07,0.26,,,,38.0,38.0,5.0,0.76,loss,kalshi_api,no,0.5,0.43,165.3846,192.3077,determined,no,
2026-05-09 15:10:20,KXBTC15M-26MAY091515-15,yes,2,10,10,9.7,9.7,1.6,0.036,0.194,2026-05-09 15:10:51,12,12.0,12.0,12.0,2.0,0.24,exited_before_settlement,bot_exit_signal,,0.046,0.01,5.1546,23.7113,,,
2026-05-09 15:11:07,KXBTC15M-26MAY091515-15,yes,3,11,11,11.0,11.0,2.0,0.05,0.33,2026-05-09 15:11:39,10,10.0,11.0,11.0,3.0,0.33,exited_before_settlement,bot_exit_signal,,0.0,-0.05,-15.1515,0.0,,,
2026-05-09 15:12:34,KXBTC15M-26MAY091515-15,yes,3,7,7,6.4,6.4,1.2,0.032,0.192,,,,12.0,12.0,2.0,0.36,loss,kalshi_api,no,0.168,0.136,70.8333,87.5,finalized,no,2026-05-09T19:15:16.998391Z
2026-05-09 15:17:14,KXBTC15M-26MAY091530-30,no,3,82,82,81.0,81.0,3.0,0.06,2.43,2026-05-09 15:19:21,79,79.0,79.0,79.0,3.0,2.37,exited_before_settlement,bot_exit_signal,,-0.06,-0.12,-4.9383,-2.4691,,,
2026-05-09 15:25:11,KXBTC15M-26MAY091530-30,no,3,82,82,82.0,82.0,3.0,0.043,2.46,2026-05-09 15:26:17,98,98.0,98.1,98.1,1.3,2.943,exited_before_settlement,bot_exit_signal,,0.483,0.44,17.8862,19.6341,,,
