entry_ts,market,side,qty,entry_trigger_cents,entry_fill_cents_assumed,entry_fill_cents_actual,entry_fill_cents_used,entry_fee_cents,total_fees_dollars,entry_notional_dollars,exit_ts,exit_trigger_cents,exit_fill_cents_assumed,exit_fill_cents_actual,exit_fill_cents_used,exit_fee_cents,exit_notional_dollars,outcome,resolution_source,result,gross_pnl_dollars,net_pnl_dollars,net_pnl_percent,gross_pnl_percent,market_status,market_result,settlement_ts
2026-05-09 23:24:55,KXBTC15M-26MAY092330-30,yes,3,10,10,9.8,9.8,2.6,0.035,0.294,2026-05-09 23:25:25,4,4.0,4.3,4.3,0.9,0.129,exited_before_settlement,bot_exit_signal,,-0.165,-0.2,-68.0272,-56.1224,,,
2026-05-09 23:35:54,KXBTC15M-26MAY092345-45,yes,2,73,73,73.0,73.0,3.0,0.06,1.46,2026-05-09 23:36:25,79,79.0,79.0,79.0,3.0,1.58,exited_before_settlement,bot_exit_signal,,0.12,0.06,4.1096,8.2192,,,
2026-05-09 23:37:53,KXBTC15M-26MAY092345-45,no,3,7,7,5.5333,5.5333,2.4,0.036,0.166,2026-05-09 23:38:23,2,2.0,2.4,2.4,1.2,0.072,exited_before_settlement,bot_exit_signal,,-0.094,-0.13,-78.3133,-56.6265,,,
2026-05-10 00:01:17,KXBTC15M-26MAY100015-15,no,2,78,78,78.0,78.0,3.0,0.07,1.56,2026-05-10 00:01:47,74,74.0,74.0,74.0,4.0,1.48,exited_before_settlement,bot_exit_signal,,-0.08,-0.15,-9.6154,-5.1282,,,
2026-05-10 00:05:42,KXBTC15M-26MAY100015-15,no,3,79,79,78.6667,78.6667,5.0,0.1,2.36,2026-05-10 00:06:14,73,73.0,73.0,73.0,5.0,2.19,exited_before_settlement,bot_exit_signal,,-0.17,-0.27,-11.4407,-7.2034,,,
2026-05-10 00:09:23,KXBTC15M-26MAY100015-15,no,3,78,78,78.0,78.0,5.0,0.09,2.34,2026-05-10 00:09:54,81,81.0,81.0,81.0,4.0,2.43,exited_before_settlement,bot_exit_signal,,0.09,0.0,0.0,3.8462,,,
2026-05-10 00:10:18,KXBTC15M-26MAY100015-15,yes,3,8,8,8.0,8.0,3.0,0.043,0.24,2026-05-10 00:10:49,5,5.0,5.1,5.1,1.3,0.153,exited_before_settlement,bot_exit_signal,,-0.087,-0.13,-54.1667,-36.25,,,
2026-05-10 00:10:53,KXBTC15M-26MAY100015-15,yes,2,7,7,7.0,7.0,1.0,0.022,0.14,2026-05-10 00:11:26,6,6.0,6.1,6.1,1.2,0.122,exited_before_settlement,bot_exit_signal,,-0.018,-0.04,-28.5714,-12.8571,,,
2026-05-10 00:11:28,KXBTC15M-26MAY100015-15,yes,2,6,6,5.9,5.9,1.2,0.016,0.118,2026-05-10 00:12:01,2,2.0,2.2,2.2,0.4,0.044,exited_before_settlement,bot_exit_signal,,-0.074,-0.09,-76.2712,-62.7119,,,
2026-05-10 00:12:04,KXBTC15M-26MAY100015-15,yes,3,3,3,2.7,2.7,0.9,0.021,0.081,2026-05-10 00:12:35,1,1.0,1.4,1.4,1.2,0.042,exited_before_settlement,bot_exit_signal,,-0.039,-0.06,-74.0741,-48.1481,,,
2026-05-10 00:18:08,KXBTC15M-26MAY100030-30,yes,3,78,78,78.0,78.0,5.0,0.09,2.34,2026-05-10 00:18:39,79,79.0,79.0,79.0,4.0,2.37,exited_before_settlement,bot_exit_signal,,0.03,-0.06,-2.5641,1.2821,,,
2026-05-10 00:19:08,KXBTC15M-26MAY100030-30,yes,2,67,67,66.0,66.0,4.0,0.07,1.32,2026-05-10 00:19:39,73,73.0,73.0,73.0,3.0,1.46,exited_before_settlement,bot_exit_signal,,0.14,0.07,5.303,10.6061,,,
2026-05-10 00:26:44,KXBTC15M-26MAY100030-30,no,3,5,5,4.8333,4.8333,2.5,0.047,0.145,2026-05-10 00:27:18,6,6.0,6.4,6.4,2.2,0.192,exited_before_settlement,bot_exit_signal,,0.047,0.0,0.0,32.4138,,,
2026-05-10 00:27:18,KXBTC15M-26MAY100030-30,no,3,7,7,6.6,6.6,3.2,0.032,0.198,2026-05-10 00:27:18,6,6.0,6.0,6.0,0.0,0.18,exited_before_settlement,execution_telemetry_exit,,-0.018,-0.05,-25.2525,-9.0909,,,
2026-05-10 00:32:04,KXBTC15M-26MAY100045-45,yes,2,79,79,79.0,79.0,3.0,0.05,1.58,2026-05-10 00:32:36,85,85.0,85.0,85.0,2.0,1.7,exited_before_settlement,bot_exit_signal,,0.12,0.07,4.4304,7.5949,,,
2026-05-10 00:33:03,KXBTC15M-26MAY100045-45,yes,3,78,78,78.0,78.0,5.0,0.1,2.34,2026-05-10 00:33:33,74,74.0,74.0,74.0,5.0,2.22,exited_before_settlement,bot_exit_signal,,-0.12,-0.22,-9.4017,-5.1282,,,
2026-05-10 00:37:06,KXBTC15M-26MAY100045-45,yes,2,77,77,77.0,77.0,3.0,0.06,1.54,2026-05-10 00:37:37,75,75.0,75.0,75.0,3.0,1.5,exited_before_settlement,bot_exit_signal,,-0.04,-0.1,-6.4935,-2.5974,,,
2026-05-10 00:38:59,KXBTC15M-26MAY100045-45,no,3,8,7,4.1333,4.1333,2.6,0.056,0.124,2026-05-10 00:39:30,12,12.0,12.0,12.0,3.0,0.36,exited_before_settlement,bot_exit_signal,,0.236,0.18,145.1613,190.3226,,,
2026-05-10 00:39:39,KXBTC15M-26MAY100045-45,no,3,10,11,10.6667,10.6667,3.0,0.053,0.32,2026-05-10 00:40:10,8,8.0,8.1,8.1,2.3,0.243,exited_before_settlement,bot_exit_signal,,-0.077,-0.13,-40.625,-24.0625,,,
2026-05-10 00:41:21,KXBTC15M-26MAY100045-45,no,3,7,7,6.7,6.7,2.9,0.042,0.201,2026-05-10 00:41:52,2,2.0,2.1,2.1,1.3,0.063,exited_before_settlement,bot_exit_signal,,-0.138,-0.18,-89.5522,-68.6567,,,
2026-05-10 00:41:58,KXBTC15M-26MAY100045-45,no,3,7,7,6.2667,6.2667,2.2,0.034,0.188,2026-05-10 00:42:30,3,3.0,3.4,3.4,1.2,0.102,exited_before_settlement,bot_exit_signal,,-0.086,-0.12,-63.8298,-45.7447,,,
2026-05-10 00:42:31,KXBTC15M-26MAY100045-45,no,3,4,4,3.7,3.7,0.9,0.009,0.111,,,,,,0,,win,kalshi_api,no,2.889,2.88,2594.5946,2602.7027,determined,no,
2026-05-10 00:48:06,KXBTC15M-26MAY100100-00,no,3,75,75,75.0,75.0,5.0,0.1,2.25,2026-05-10 00:48:36,69,69.0,69.0,69.0,5.0,2.07,exited_before_settlement,bot_exit_signal,,-0.18,-0.28,-12.4444,-8.0,,,
2026-05-10 00:48:48,KXBTC15M-26MAY100100-00,no,3,75,75,75.0,75.0,5.0,0.1,2.25,2026-05-10 00:49:28,76,76.0,76.0,76.0,5.0,2.28,exited_before_settlement,bot_exit_signal,,0.03,-0.07,-3.1111,1.3333,,,
2026-05-10 01:02:14,KXBTC15M-26MAY100115-15,no,3,78,78,78.0,78.0,5.0,0.09,2.34,2026-05-10 01:03:03,76,76.0,76.0,76.0,4.0,2.28,exited_before_settlement,bot_exit_signal,,-0.06,-0.15,-6.4103,-2.5641,,,
2026-05-10 01:03:13,KXBTC15M-26MAY100115-15,no,3,77,77,77.0,77.0,5.0,0.1,2.31,2026-05-10 01:03:44,67,67.0,67.0,67.0,5.0,2.01,exited_before_settlement,bot_exit_signal,,-0.3,-0.4,-17.316,-12.987,,,
2026-05-10 01:23:52,KXBTC15M-26MAY100130-30,no,3,9,9,8.6,8.6,3.2,0.051,0.258,2026-05-10 01:24:23,5,5.0,5.3,5.3,1.9,0.159,exited_before_settlement,bot_exit_signal,,-0.099,-0.15,-58.1395,-38.3721,,,
2026-05-10 01:37:32,KXBTC15M-26MAY100145-45,yes,3,12,12,12.0,12.0,3.0,0.07,0.36,2026-05-10 01:38:04,20,20.0,20.0,20.0,4.0,0.6,exited_before_settlement,bot_exit_signal,,0.24,0.17,47.2222,66.6667,,,
2026-05-10 01:40:04,KXBTC15M-26MAY100145-45,yes,3,9,9,8.8,8.8,2.6,0.048,0.264,2026-05-10 01:40:34,6,6.0,6.4,6.4,2.2,0.192,exited_before_settlement,bot_exit_signal,,-0.072,-0.12,-45.4545,-27.2727,,,
2026-05-10 01:42:04,KXBTC15M-26MAY100145-45,yes,3,4,4,3.7667,3.7667,1.7,0.026,0.113,2026-05-10 01:42:34,1,1.0,1.3,1.3,0.9,0.039,exited_before_settlement,bot_exit_signal,,-0.074,-0.1,-88.4956,-65.4867,,,
2026-05-10 01:51:38,KXBTC15M-26MAY100200-00,yes,3,13,13,13.0,13.0,3.0,0.07,0.39,2026-05-10 01:52:08,24,24.0,24.0,24.0,4.0,0.72,exited_before_settlement,bot_exit_signal,,0.33,0.26,66.6667,84.6154,,,
2026-05-10 01:54:05,KXBTC15M-26MAY100200-00,yes,3,10,10,9.9,9.9,3.3,0.046,0.297,2026-05-10 01:54:36,6,6.0,6.1,6.1,1.3,0.183,exited_before_settlement,bot_exit_signal,,-0.114,-0.16,-53.8721,-38.3838,,,
2026-05-10 01:55:21,KXBTC15M-26MAY100200-00,yes,3,7,7,7.0,7.0,2.0,0.042,0.21,2026-05-10 01:55:52,8,8.0,8.4,8.4,2.2,0.252,exited_before_settlement,bot_exit_signal,,0.042,0.0,0.0,20.0,,,
2026-05-10 01:57:01,KXBTC15M-26MAY100200-00,yes,3,7,7,6.6,6.6,3.2,0.045,0.198,2026-05-10 01:57:32,2,2.0,2.1,2.1,1.3,0.063,exited_before_settlement,bot_exit_signal,,-0.135,-0.18,-90.9091,-68.1818,,,
